side,horizon_minutes,operational_band,valid_blocks,positive_return_blocks,negative_return_blocks,avg_block_return_atr,min_block_return_atr,max_block_return_atr,avg_block_success_rate,avg_block_profit_factor
DOWN,5,LOW,5,5,0,0.05676064060040793,0.027683586790872055,0.10977689260371251,0.5184247166446119,1.0975030457237807
DOWN,5,PREMIUM,5,5,0,0.6403426751838328,0.46932537893158904,0.7880762749862213,0.7092231930846522,2.580709829356236
DOWN,5,VALID,5,5,0,0.2203405491133255,0.17768619549889586,0.2700789495005821,0.578379110033275,1.398970261887539
UP,5,LOW,5,1,4,-0.000882549431935829,-0.01872288286133912,0.03380017141995327,0.49999979143431145,0.999108248267558
UP,5,PREMIUM,5,5,0,0.713070686827985,0.606089886572968,0.7745656377360086,0.71144578313253,2.6701174396276963
UP,5,VALID,5,5,0,0.211090198604892,0.13258035065991292,0.2958935987117092,0.5714730794356256,1.3871530926516171
DOWN,15,LOW,5,5,0,0.06874960003840482,0.00459974430803125,0.12837287516217638,0.5181237550099599,1.070098318813863
DOWN,15,PREMIUM,5,5,0,0.6130836960720009,0.3768682892991808,0.7702515458179666,0.6391591875295228,1.7803023244943088
DOWN,15,VALID,5,5,0,0.43328047215139726,0.13816545510807907,0.6785806352085499,0.5842924317062248,1.4871603001591045
UP,15,LOW,5,1,4,-0.051370259639751295,-0.1655386554066189,0.1503044009666747,0.49062471072850133,0.9586976694923622
UP,15,PREMIUM,5,5,0,0.5203526372113841,0.26086084725374015,0.7839310571016301,0.6323076923076922,1.6099785755016307
UP,15,VALID,5,4,1,0.31700336605150065,-0.016566284271216602,0.5274573628935812,0.544416912487709,1.348303476688692
DOWN,30,LOW,5,4,1,0.0959095770468665,-0.019014689284603165,0.17521271995505858,0.5209484365293021,1.0667644869381778
DOWN,30,PREMIUM,5,5,0,0.9748895794507761,0.38103136083526495,1.5603454242090615,0.6212121212121212,1.846396186543527
DOWN,30,VALID,5,5,0,0.5522679631890102,0.060973686079695166,0.9316754949019315,0.5907346326836581,1.4676052800204178
UP,30,LOW,5,0,5,-0.2068837646101162,-0.3373104808366655,-0.09547401371569711,0.48288288288288284,0.877473003977982
UP,30,PREMIUM,5,4,1,0.6949498531173789,-0.19814159006776494,1.3145340799084264,0.627927927927928,1.69363798905183
UP,30,VALID,5,3,2,0.3642037383110921,-0.07997963416693096,0.9071763634028692,0.5102564102564102,1.2891981172711795
DOWN,60,LOW,5,5,0,0.34021224982356757,0.08065506489779703,0.6453139904650913,0.5319390178503026,1.1755040373670305
DOWN,60,PREMIUM,5,4,1,1.1729707796859499,-0.22761661261823002,2.2959553147446075,0.5774879227053141,1.7823463293620967
DOWN,60,VALID,5,2,3,0.16193495021936866,-0.9569095996645371,1.4628234635168955,0.5762855414398065,1.1844095852074017
UP,60,LOW,5,0,5,-0.31306584559271927,-0.5748853222188846,-0.07756440759168653,0.46311111111111114,0.8716027282891842
UP,60,PREMIUM,5,4,1,0.9585793479824636,-0.6624662555260818,2.814241467528174,0.6143964562569214,1.8657323317366612
UP,60,VALID,5,3,2,0.1153684120758128,-1.309919019468683,1.4597621243508183,0.5175595238095239,1.1906008759380406
