side,horizon_minutes,operational_band,score_min,score_max,sample_size,success_rate,avg_return_atr,median_return_atr,avg_mfe_atr,avg_mae_atr,avg_win_atr,avg_loss_atr,payoff_ratio,profit_factor
DOWN,5,LOW,-5,1,9552,0.518425460636516,0.05676054424574418,0.06318527830154924,1.2400819492106285,1.1298771181457432,1.244569810821668,-1.230257710954801,1.0116334161041425,1.0962861577182754
DOWN,5,PREMIUM,4,5,2067,0.7092404450895017,0.6404008977210739,0.48399135729724385,2.0191782809343355,0.613262756274447,1.6908997566947181,-1.1029138283376703,1.5331204607736852,2.546639528269691
DOWN,5,VALID,2,3,2979,0.5783820073850285,0.22034602335622863,0.1578395385423071,1.5108284426168477,0.9883707662290502,1.4329209438465607,-1.2278179391247963,1.16704675684081,1.3942593997655697
UP,5,LOW,-5,1,9792,0.5,-0.0008833576565676815,0.01538184924883081,1.1908664254932382,1.2019999537804056,1.2297722725965468,-1.2523664047727805,0.9819588483928288,0.9985747430622905
UP,5,PREMIUM,4,5,1660,0.7114457831325302,0.7130706868279851,0.5618973251667715,2.0545244987217512,0.592905765986259,1.8036917616229382,-1.1887561460789169,1.5172933217400149,2.645858602373084
UP,5,VALID,2,3,2994,0.5714762859051437,0.21109278226339223,0.11109940508426089,1.4499078326381423,0.9689465471989337,1.417424170169034,-1.1762099901896745,1.2050774793542278,1.3860122445733611
DOWN,15,LOW,-5,1,4082,0.5181283684468397,0.06876915871140997,0.018173888099945038,2.185809527614945,2.0525093992669823,2.13540936439729,-2.0293173685695653,1.0522796470729008,1.068412520000329
DOWN,15,PREMIUM,4,5,726,0.6391184573002755,0.6130080709198292,0.43711881180591383,3.0522609944727583,1.5009700129408,2.496652258320966,-1.9147209031410515,1.3039248979970244,1.7497830889250392
DOWN,15,VALID,2,3,1157,0.5842696629213483,0.433396658264484,0.2764932562619414,2.7800103791576425,1.863070070342744,2.496295371196691,-2.092878463331575,1.1927569684208665,1.4616443774868422
UP,15,LOW,-5,1,4158,0.4906204906204906,-0.05141642098309458,-0.01978604167825656,2.1319560333640677,2.2256234157997827,2.1264884967159756,-2.196121485991081,0.9682927425830995,0.9534884579377774
UP,15,PREMIUM,4,5,650,0.6323076923076923,0.5203526372113843,0.3070597097725654,2.8500125777255065,1.5795149410630418,2.569852608468319,-1.9992371809081044,1.2854165743861499,1.5813715932310708
UP,15,VALID,2,3,1126,0.544404973357016,0.3169694820237471,0.14788666369205417,2.519246369290597,1.9367872019082792,2.46608566883642,-2.0655713093491035,1.1939000399911275,1.323574576169939
DOWN,30,LOW,-5,1,2196,0.5209471766848816,0.09585724359225291,0.21333611011747494,3.2661616053309506,3.0304506607224155,3.049032900354919,-3.1215153629308956,0.976779719415534,1.0642247609632105
DOWN,30,PREMIUM,4,5,388,0.6211340206185567,0.974911235053501,0.908129875660957,4.3143452959227115,2.2320698594427424,3.713011972103888,-2.862578549656648,1.297086493067324,1.820754953001337
DOWN,30,VALID,2,3,579,0.5906735751295337,0.5520045440175962,0.328281384043364,3.6178995367468847,2.6184366363079286,3.3961051067197605,-2.7714388101512246,1.2253942227699592,1.4319213389671435
UP,30,LOW,-5,1,2220,0.4828828828828829,-0.20688376461011618,-0.11716415583835998,2.974031830375845,3.284611709234334,2.938845667214527,-3.2357956578524116,0.9082296838129236,0.8745023215493137
UP,30,PREMIUM,4,5,371,0.628032345013477,0.6957774957795422,0.432671081677789,4.050524038793971,2.4200648457999154,3.4509044555196615,-2.9159780295307423,1.183446658572734,1.5532737393767129
UP,30,VALID,2,3,582,0.5103092783505154,0.3658190635912782,0.06247335907130183,3.532319215517079,3.0083936012517936,3.4270710341078434,-2.802469689111181,1.2228753257969254,1.2656332043212934
DOWN,60,LOW,-5,1,1143,0.531933508311461,0.33991451811422,0.35623409669225387,4.750360026452513,4.170571420710358,4.424728933809363,-4.376248704314673,1.0110780334414935,1.1675089744645168
DOWN,60,PREMIUM,4,5,227,0.5770925110132159,1.1717478596099782,0.264689527340235,6.066237022037621,3.5179733148389594,5.635067706426694,-3.575601432004165,1.5759775840754642,1.6762670666984485
DOWN,60,VALID,2,3,288,0.5763888888888888,0.1666275864933512,0.16985374216825322,4.880584345881628,4.242375814026006,4.020299500556813,-4.140417493930518,0.9709889175307111,1.0852229078284419
UP,60,LOW,-5,1,1125,0.4631111111111111,-0.3130658455927192,-0.2494956287826661,4.1673472739530695,4.8159419454730354,4.235594938365591,-4.526808112923963,0.9356692028259466,0.8667757512480088
UP,60,PREMIUM,4,5,213,0.6150234741784038,0.9699606576969774,0.7238570241063508,5.443717344617558,3.6753270629830816,4.977025076010885,-3.8219926672969735,1.3022068615141495,1.5572783086148592
UP,60,VALID,2,3,319,0.5172413793103449,0.1111540117238536,0.3706086095990985,4.719157955114383,4.524219894661799,4.107778791170688,-4.3354219018328894,0.9474922819931411,1.0541635985089253
