layer,context_key,bars,avg_energy,avg_range_atr,avg_vol_ratio,continuation_h3,continuation_h6,continuation_h12,pullback_0p50_h6,reach_1atr_h12,rr_tp,rr_sl,rr_ambiguous,rr_no_touch,rr_edge,fusion_edge_score
5,hour=10|state=EXPANSION|energy=HIGH|vol=HIGH|align=FULL/UP,163,72.58770533200718,1.2032267534744314,1.219187826804254,0.6809815950920245,0.7300613496932515,0.7116564417177914,0.6319018404907976,0.9141104294478528,0.49693251533742333,0.4723926380368098,0.03067484662576687,0.0,0.024539877300613522,0.2567484662576687
5,hour=10|state=EXPANSION|energy=HIGH|vol=HIGH|align=FULL/DOWN,130,73.15086179176744,1.219810718420109,1.2109609285640195,0.6923076923076923,0.7307692307692307,0.7153846153846154,0.6461538461538462,0.9307692307692308,0.46923076923076923,0.46923076923076923,0.06153846153846154,0.0,0.0,0.2496153846153846
5,hour=10|state=EXPANSION|energy=EXTREME|vol=HIGH|align=FULL/DOWN,152,87.47075059060903,1.6974586183156302,1.3120802494082284,0.6842105263157895,0.6710526315789473,0.6381578947368421,0.6644736842105263,0.868421052631579,0.4934210526315789,0.4342105263157895,0.07236842105263158,0.0,0.059210526315789436,0.23914473684210527
6,hour=10|state=EXPANSION|energy=EXTREME|vol=HIGH|align=FULL/DOWN|event=BREAKOUT,128,88.06937144123143,1.7356621060881898,1.3127654906488304,0.65625,0.65625,0.6328125,0.671875,0.859375,0.484375,0.453125,0.0625,0.0,0.03125,0.22265625000000003
3,hour=1|state=ACCEPTED_BREAKOUT|energy=HIGH,232,71.69790799208322,1.36356899061604,1.49799065653248,0.5646551724137931,0.5344827586206896,0.4956896551724138,0.6724137931034483,0.7370689655172413,0.46551724137931033,0.5258620689655172,0.008620689655172414,0.0,-0.060344827586206906,0.1355603448275862
2,hour=13|state=COMPRESSION,141,42.583138225552055,0.8219830181214105,0.8622830756848956,0.574468085106383,0.5673758865248227,0.5319148936170213,0.6312056737588653,0.6950354609929078,0.4326241134751773,0.5319148936170213,0.03546099290780142,0.0,-0.09929078014184395,0.12624113475177307
5,hour=10|state=EXPANSION|energy=EXTREME|vol=HIGH|align=FULL/UP,143,87.54574187785578,1.6225246440110328,1.2925573809556783,0.6433566433566433,0.6643356643356644,0.5944055944055944,0.7132867132867133,0.7972027972027972,0.3986013986013986,0.5874125874125874,0.013986013986013986,0.0,-0.1888111888111888,0.12342657342657345
4,hour=1|state=ACCEPTED_BREAKOUT|energy=HIGH|vol=HIGH,147,71.0540800752846,1.3362146132977617,1.3251295479137852,0.54421768707483,0.5102040816326531,0.4897959183673469,0.7142857142857143,0.7414965986394558,0.4421768707482993,0.54421768707483,0.013605442176870748,0.0,-0.10204081632653067,0.10884353741496597
4,hour=0|state=NORMAL_FLOW|energy=HIGH|vol=HIGH,161,68.7404833211278,1.311140090850515,1.0963286038428113,0.5403726708074534,0.546583850931677,0.5279503105590062,0.5590062111801242,0.6273291925465838,0.42857142857142855,0.5652173913043478,0.006211180124223602,0.0,-0.13664596273291924,0.1065217391304348
6,hour=10|state=EXPANSION|energy=EXTREME|vol=HIGH|align=FULL/UP|event=BREAKOUT,130,87.57305481486175,1.6282990380638787,1.2882151215046664,0.6384615384615384,0.6538461538461539,0.5769230769230769,0.7230769230769231,0.7923076923076923,0.3769230769230769,0.6076923076923076,0.015384615384615385,0.0,-0.23076923076923073,0.10346153846153847
