dna_key,bars,avg_energy,avg_range_atr,avg_vol_ratio,continuation_h3,continuation_h6,pullback_0p50_h6,reach_1atr_h12,rr_tp,rr_sl,rr_edge,dna_score
hour=10|state=EXPANSION|energy=EXTREME|vol=HIGH|align=FULL/DOWN|event=BREAKOUT,128,88.06937144123143,1.7356621060881898,1.3127654906488304,0.65625,0.65625,0.671875,0.859375,0.484375,0.453125,0.03125,0.2802875
hour=10|state=EXPANSION|energy=EXTREME|vol=HIGH|align=FULL/UP|event=BREAKOUT,130,87.57305481486175,1.6282990380638787,1.2882151215046664,0.6384615384615384,0.6538461538461539,0.7230769230769231,0.7923076923076923,0.3769230769230769,0.6076923076923076,-0.23076923076923073,0.17715384615384613
hour=17|state=SWEEP_OR_FALSE_BREAK|energy=LOW|vol=LOW|align=MIXED/DOWN|event=FALSE_BREAK,125,28.80611544990608,0.7656087670305929,0.5887514260126392,0.488,0.52,0.68,0.648,0.36,0.616,-0.256,0.11220000000000002
hour=9|state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|vol=HIGH|align=MIXED/UP|event=FALSE_BREAK,124,52.00656465772356,0.9258496862865014,1.1654737486035993,0.43548387096774194,0.47580645161290325,0.8629032258064516,0.7096774193548387,0.24193548387096775,0.717741935483871,-0.47580645161290325,0.025203225806451665
hour=2|state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|vol=HIGH|align=NONE/MIXED|event=FALSE_BREAK,152,49.740315094959534,0.8756551595935731,1.187442210718686,0.48026315789473684,0.4342105263157895,0.8092105263157895,0.625,0.27631578947368424,0.7171052631578947,-0.44078947368421045,0.019873684210526352
hour=13|state=SWEEP_OR_FALSE_BREAK|energy=LOW|vol=LOW|align=MIXED/UP|event=FALSE_BREAK,141,27.606584181902367,0.6483308460495601,0.7009659437006537,0.45390070921985815,0.49645390070921985,0.6879432624113475,0.46808510638297873,0.2553191489361702,0.7021276595744681,-0.4468085106382979,0.007278014184397174
hour=23|state=SWEEP_OR_FALSE_BREAK|energy=LOW|vol=LOW|align=MIXED/UP|event=FALSE_BREAK,123,28.261554451113167,0.7072220850418354,0.6865994365917598,0.4634146341463415,0.4715447154471545,0.7398373983739838,0.5203252032520326,0.2682926829268293,0.7073170731707317,-0.4390243902439024,0.006307317073170771
hour=21|state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|vol=HIGH|align=NONE/MIXED|event=FALSE_BREAK,128,51.62219903248503,0.8876286059438547,1.2108104469692573,0.4296875,0.40625,0.84375,0.6015625,0.21875,0.71875,-0.5,-0.019321874999999985
hour=2|state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|vol=HIGH|align=MIXED/UP|event=FALSE_BREAK,131,51.14627500131231,0.9126370145603253,1.1800055817081716,0.44274809160305345,0.4198473282442748,0.7938931297709924,0.5419847328244275,0.25190839694656486,0.7404580152671756,-0.4885496183206107,-0.019983206106870224
hour=8|state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|vol=HIGH|align=NONE/MIXED|event=FALSE_BREAK,121,50.75228382551393,0.9080675970215147,1.1539194215203519,0.39669421487603307,0.371900826446281,0.859504132231405,0.628099173553719,0.2066115702479339,0.7603305785123967,-0.5537190082644629,-0.03943636363636363
hour=9|state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|vol=HIGH|align=NONE/MIXED|event=FALSE_BREAK,126,51.65952434828134,0.9209497666023145,1.1855915293253947,0.40476190476190477,0.42857142857142855,0.9126984126984127,0.6507936507936508,0.19047619047619047,0.7936507936507936,-0.6031746031746031,-0.04424444444444442
hour=12|state=SWEEP_OR_FALSE_BREAK|energy=LOW|vol=LOW|align=NONE/MIXED|event=FALSE_BREAK,165,30.18005596524382,0.6367559332890934,0.7063069600612683,0.4727272727272727,0.4,0.7393939393939394,0.41818181818181815,0.24242424242424243,0.7454545454545455,-0.503030303030303,-0.044272727272727255
hour=12|state=SWEEP_OR_FALSE_BREAK|energy=LOW|vol=LOW|align=MIXED/UP|event=FALSE_BREAK,160,29.614827031261264,0.6318768259431555,0.7083483249947639,0.46875,0.41875,0.74375,0.43125,0.20625,0.7625,-0.5562499999999999,-0.05487499999999995
hour=21|state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|vol=HIGH|align=MIXED/UP|event=FALSE_BREAK,127,52.22373314947386,0.9146084762403717,1.2260279755774623,0.3937007874015748,0.36220472440944884,0.8818897637795275,0.48031496062992124,0.1732283464566929,0.7637795275590551,-0.5905511811023622,-0.09152913385826769
hour=13|state=SWEEP_OR_FALSE_BREAK|energy=LOW|vol=LOW|align=NONE/MIXED|event=FALSE_BREAK,131,27.881662905152783,0.6315633379615769,0.7171000832691096,0.3969465648854962,0.37404580152671757,0.8091603053435115,0.4198473282442748,0.17557251908396945,0.8091603053435115,-0.633587786259542,-0.10547938931297712
