breakout_location_alignment,htf_location_bias,anchor_market_state,energy_bucket,mtf_alignment_bucket,mtf_bias,bars,avg_energy,avg_range_atr,continuation_h6,pullback_0p50_h6,reach_1atr_h12,buy_edge,sell_edge,best_side,best_edge,edge_gap
NO_BREAKOUT,MIXED_LOCATION,SWEEP_OR_FALSE_BREAK,LOW,FULL,DOWN,332,30.21586464390526,0.6975935963899154,0.9397590361445783,0.2289156626506024,0.9879518072289156,-0.9457831325301205,0.6506024096385542,SELL,0.6506024096385542,1.5963855421686746
NO_BREAKOUT,MIXED_LOCATION,SWEEP_OR_FALSE_BREAK,LOW,FULL,UP,311,31.029619952484524,0.7117696986878427,0.9453376205787781,0.2733118971061093,1.0,0.5498392282958199,-0.9485530546623795,BUY,0.5498392282958199,1.4983922829581995
BREAKOUT_WITH_HTF_DOWN,DOWN_LOCATION,NORMAL_FLOW,MEDIUM,NONE,MIXED,142,49.5506098463512,0.9348986808661899,0.1619718309859155,1.0,0.2676056338028169,0.5492957746478873,-0.9577464788732395,BUY,0.5492957746478873,1.5070422535211268
BREAKOUT_WITH_HTF_UP,UP_LOCATION,NORMAL_FLOW,MEDIUM,NONE,MIXED,190,49.54999588962668,0.8961856879631814,0.18421052631578946,0.9789473684210527,0.24210526315789474,-0.9105263157894736,0.5105263157894737,SELL,0.5105263157894737,1.4210526315789473
BREAKOUT_MIXED_HTF,MIXED_LOCATION,NORMAL_FLOW,MEDIUM,FULL,UP,322,50.13148801676916,0.9554920136415241,0.9658385093167702,0.2732919254658385,0.9906832298136646,0.5093167701863355,-0.9192546583850932,BUY,0.5093167701863355,1.4285714285714288
BREAKOUT_MIXED_HTF,MIXED_LOCATION,NORMAL_FLOW,MEDIUM,FULL,DOWN,293,50.101745904589194,0.9505792063623363,0.9522184300341296,0.30716723549488056,0.9965870307167235,-0.9180887372013651,0.49829351535836175,SELL,0.49829351535836175,1.416382252559727
BREAKOUT_MIXED_HTF,MIXED_LOCATION,NORMAL_FLOW,HIGH,FULL,DOWN,205,67.0705989847647,1.2811413090268324,0.9512195121951219,0.3073170731707317,1.0,-0.9121951219512194,0.4975609756097561,SELL,0.4975609756097561,1.4097560975609755
BREAKOUT_MIXED_HTF,MIXED_LOCATION,NORMAL_FLOW,LOW,FULL,UP,171,32.80202244560992,0.7514742136212406,0.9532163742690059,0.28654970760233917,0.9883040935672515,0.47368421052631576,-0.8888888888888888,BUY,0.47368421052631576,1.3625730994152045
NO_BREAKOUT,MIXED_LOCATION,SWEEP_OR_FALSE_BREAK,MEDIUM,FULL,UP,330,49.63579831093271,0.9567690572462656,0.9696969696969697,0.3181818181818182,0.996969696969697,0.4727272727272727,-0.903030303030303,BUY,0.4727272727272727,1.3757575757575757
NO_BREAKOUT,MIXED_LOCATION,SWEEP_OR_FALSE_BREAK,MEDIUM,FULL,DOWN,423,49.74654265431543,0.9383735439618148,0.9148936170212766,0.32387706855791965,0.9952718676122931,-0.9408983451536642,0.46572104018912536,SELL,0.46572104018912536,1.4066193853427895
NO_BREAKOUT,MIXED_LOCATION,SWEEP_OR_FALSE_BREAK,HIGH,FULL,UP,167,67.99712432618577,1.2609281911670205,0.9520958083832335,0.32335329341317365,1.0,0.45508982035928147,-0.9161676646706587,BUY,0.45508982035928147,1.3712574850299402
NO_BREAKOUT,MIXED_LOCATION,COMPRESSION,LOW,MIXED,UP,156,29.584855886637772,0.6288754066848515,0.4423076923076923,0.6730769230769231,0.5512820512820513,0.44871794871794873,-0.8653846153846154,BUY,0.44871794871794873,1.314102564102564
BREAKOUT_MIXED_HTF,MIXED_LOCATION,NORMAL_FLOW,HIGH,FULL,UP,168,67.49659085657666,1.2704358817854107,0.9523809523809523,0.3273809523809524,1.0,0.43452380952380953,-0.8452380952380952,BUY,0.43452380952380953,1.2797619047619047
BREAKOUT_MIXED_HTF,MIXED_LOCATION,NORMAL_FLOW,LOW,FULL,DOWN,169,33.04937976213133,0.7528831270491567,0.9349112426035503,0.3254437869822485,0.9881656804733728,-0.9230769230769231,0.4319526627218935,SELL,0.4319526627218935,1.3550295857988166
BREAKOUT_WITH_HTF_UP,STRONG_UP_LOCATION,NORMAL_FLOW,MEDIUM,MIXED,UP,156,49.130055463092745,0.8929023931851594,0.33974358974358976,0.9615384615384616,0.40384615384615385,-0.9038461538461539,0.4294871794871795,SELL,0.4294871794871795,1.3333333333333335
BREAKOUT_MIXED_HTF,MIXED_LOCATION,ACCEPTED_BREAKOUT,HIGH,FULL,UP,144,71.72930123764411,1.3977042940714979,0.9513888888888888,0.3888888888888889,1.0,0.3819444444444444,-0.8888888888888888,BUY,0.3819444444444444,1.2708333333333333
NO_BREAKOUT,MIXED_LOCATION,NORMAL_FLOW,MEDIUM,FULL,DOWN,124,48.87643352020762,0.8323220009263149,0.8951612903225806,0.4112903225806452,0.9758064516129032,-0.9193548387096775,0.37903225806451607,SELL,0.37903225806451607,1.2983870967741935
NO_BREAKOUT,UP_LOCATION,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,DOWN,464,49.2447166706801,0.91054985497028,0.7737068965517241,0.41163793103448276,0.9116379310344828,-0.8275862068965517,0.36853448275862066,SELL,0.36853448275862066,1.1961206896551724
NO_BREAKOUT,MIXED_LOCATION,SWEEP_OR_FALSE_BREAK,HIGH,FULL,DOWN,177,68.37110825763187,1.3200069788410416,0.9265536723163842,0.3728813559322034,0.9943502824858758,-0.8644067796610169,0.3333333333333333,SELL,0.3333333333333333,1.1977401129943501
NO_BREAKOUT,UP_LOCATION,SWEEP_OR_FALSE_BREAK,HIGH,MIXED,DOWN,178,67.23285578126952,1.2498685499218933,0.7528089887640449,0.4887640449438202,0.9269662921348315,-0.8595505617977528,0.3146067415730337,SELL,0.3146067415730337,1.1741573033707864
NO_BREAKOUT,DOWN_LOCATION,SWEEP_OR_FALSE_BREAK,LOW,MIXED,UP,309,31.144110313366685,0.6967499232208176,0.8090614886731392,0.4045307443365696,0.8705501618122977,0.3074433656957929,-0.8576051779935275,BUY,0.3074433656957929,1.1650485436893203
BREAKOUT_AGAINST_HTF_UP,UP_LOCATION,NORMAL_FLOW,LOW,MIXED,DOWN,188,32.97702783785737,0.7372507919509625,0.8191489361702128,0.4308510638297872,0.9202127659574468,-0.8617021276595744,0.2819148936170212,SELL,0.2819148936170212,1.1436170212765957
BREAKOUT_AGAINST_HTF_DOWN,DOWN_LOCATION,NORMAL_FLOW,HIGH,MIXED,UP,121,66.02526999969037,1.1952170079049715,0.8264462809917356,0.48760330578512395,0.9338842975206612,0.2809917355371901,-0.8181818181818181,BUY,0.2809917355371901,1.0991735537190082
NO_BREAKOUT,MIXED_LOCATION,NORMAL_FLOW,LOW,MIXED,UP,154,31.32599440563143,0.7111915999244502,0.45454545454545453,0.6818181818181818,0.564935064935065,0.27272727272727276,-0.7467532467532467,BUY,0.27272727272727276,1.0194805194805194
NO_BREAKOUT,MIXED_LOCATION,SWEEP_OR_FALSE_BREAK,VERY_LOW,MIXED,DOWN,230,14.822835107437061,0.5236018262308488,0.49130434782608695,0.6826086956521739,0.5565217391304348,-0.8,0.26521739130434785,SELL,0.26521739130434785,1.065217391304348
NO_BREAKOUT,MIXED_LOCATION,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,UP,676,49.03501661618419,0.9339577180304699,0.41863905325443784,0.7411242603550295,0.5207100591715976,0.264792899408284,-0.7707100591715976,BUY,0.264792899408284,1.0355029585798816
NO_BREAKOUT,UP_LOCATION,SWEEP_OR_FALSE_BREAK,LOW,FULL,UP,531,30.6957296272815,0.6763692523675549,0.8305084745762712,0.3954802259887006,0.9209039548022598,0.2636534839924671,-0.7645951035781544,BUY,0.2636534839924671,1.0282485875706215
NO_BREAKOUT,DOWN_LOCATION,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,UP,305,49.211568160016284,0.9116465846065105,0.7704918032786885,0.43934426229508194,0.8918032786885246,0.259016393442623,-0.8,BUY,0.259016393442623,1.059016393442623
