sequence_regime,event_group,breakout_attempt_bucket,htf_location_bias,mtf_alignment_bucket,mtf_bias,bars,avg_energy,avg_range_atr,avg_range_sum_5_atr,continuation_h6,pullback_0p50_h6,reach_1atr_h12,buy_edge,sell_edge,best_side,best_edge,edge_gap
EXPANSION_CHAIN,FALSE_BREAK,BO_CLUSTER,MIXED_LOCATION,FULL,DOWN,206,54.48463509361872,0.943702847159344,5.338027044406662,0.9077669902912622,0.25728155339805825,0.9902912621359223,-0.9320388349514563,0.5970873786407767,SELL,0.5970873786407767,1.529126213592233
NORMAL_SEQUENCE,FALSE_BREAK,MULTI_BO,MIXED_LOCATION,FULL,UP,205,41.63916926247924,0.9117494406464259,4.654213491104584,0.9707317073170731,0.2634146341463415,1.0,0.5902439024390245,-0.9560975609756097,BUY,0.5902439024390245,1.5463414634146342
NORMAL_SEQUENCE,FALSE_BREAK,MULTI_BO,MIXED_LOCATION,FULL,DOWN,292,41.43437285632599,0.8915682447255284,4.600203428230674,0.9315068493150684,0.2876712328767123,0.9897260273972602,-0.9417808219178082,0.5308219178082192,SELL,0.5308219178082192,1.4726027397260273
BREAKOUT_AFTER_COMPRESSION,BREAKOUT,BO_CLUSTER,MIXED_LOCATION,FULL,DOWN,124,62.33959565734621,1.266477177310389,4.846134662477539,0.9193548387096774,0.3709677419354839,1.0,-0.7741935483870968,0.5,SELL,0.5,1.2741935483870968
NORMAL_SEQUENCE,FALSE_BREAK,BO_CLUSTER,MIXED_LOCATION,FULL,DOWN,478,45.62023898135082,0.954264051729265,4.970333091486077,0.9288702928870293,0.29497907949790797,0.9916317991631799,-0.9330543933054394,0.4958158995815899,SELL,0.4958158995815899,1.4288702928870292
NORMAL_SEQUENCE,FALSE_BREAK,BO_CLUSTER,MIXED_LOCATION,FULL,UP,482,45.56502290840991,0.9611227673784629,4.946714841287153,0.950207468879668,0.3132780082987552,0.9979253112033195,0.4813278008298755,-0.9128630705394191,BUY,0.4813278008298755,1.3941908713692945
BREAKOUT_AFTER_SWEEP,BREAKOUT,MULTI_BO,MIXED_LOCATION,FULL,UP,147,56.482150746211,1.214487392033794,4.751315012046853,0.9727891156462585,0.30612244897959184,1.0,0.4761904761904762,-0.870748299319728,BUY,0.4761904761904762,1.3469387755102042
BREAKOUT_AFTER_EXPANSION_CHAIN,BREAKOUT,BO_CLUSTER,MIXED_LOCATION,FULL,UP,273,66.46697883053672,1.1789746001264254,5.311524655011869,0.9597069597069597,0.2857142857142857,0.978021978021978,0.47619047619047616,-0.8864468864468864,BUY,0.47619047619047616,1.3626373626373627
NORMAL_SEQUENCE,NONE,BO_CLUSTER,MIXED_LOCATION,FULL,DOWN,147,39.23304096696894,0.7544961877504748,4.913575788111987,0.9115646258503401,0.35374149659863946,0.9795918367346939,-0.8979591836734694,0.46938775510204084,SELL,0.46938775510204084,1.3673469387755102
NORMAL_SEQUENCE,NONE,BO_CLUSTER,MIXED_LOCATION,FULL,UP,151,40.69519028349361,0.7792890550807363,5.074779329410271,0.9470198675496688,0.31788079470198677,0.9801324503311258,0.4635761589403974,-0.9205298013245033,BUY,0.4635761589403974,1.3841059602649008
BREAKOUT_AFTER_SWEEP,BREAKOUT,BO_CLUSTER,MIXED_LOCATION,FULL,UP,815,56.23697628958946,1.1676178903766568,4.945100195300002,0.9582822085889571,0.32515337423312884,0.996319018404908,0.4306748466257668,-0.8809815950920246,BUY,0.4306748466257668,1.3116564417177914
BREAKOUT_AFTER_SWEEP,BREAKOUT,MULTI_BO,MIXED_LOCATION,FULL,DOWN,175,56.42665202234196,1.1730772252146215,4.542620278110464,0.9085714285714286,0.3657142857142857,1.0,-0.9142857142857144,0.42857142857142855,SELL,0.42857142857142855,1.342857142857143
BREAKOUT_AFTER_SWEEP,BREAKOUT,BO_CLUSTER,MIXED_LOCATION,FULL,DOWN,890,59.91851642325714,1.265942359841924,5.015625352177891,0.9438202247191011,0.3808988764044944,0.998876404494382,-0.8651685393258426,0.3797752808988764,SELL,0.3797752808988764,1.244943820224719
BREAKOUT_AFTER_EXPANSION_CHAIN,BREAKOUT,BO_CLUSTER,MIXED_LOCATION,FULL,DOWN,327,67.59899410566491,1.2459270548127463,5.249220627536138,0.9480122324159022,0.37003058103975534,0.9908256880733946,-0.8593272171253822,0.37614678899082565,SELL,0.37614678899082565,1.235474006116208
EXPANSION_CHAIN,FALSE_BREAK,BO_CLUSTER,MIXED_LOCATION,FULL,UP,146,58.15923510456796,0.9819759032761787,5.503297466677619,0.9794520547945206,0.3356164383561644,1.0,0.3493150684931507,-0.8493150684931507,BUY,0.3493150684931507,1.1986301369863015
NORMAL_SEQUENCE,FALSE_BREAK,BO_CLUSTER,UP_LOCATION,MIXED,DOWN,682,43.18274173456617,0.9070631966433728,4.680917721277292,0.7712609970674487,0.4090909090909091,0.9032258064516129,-0.875366568914956,0.3343108504398827,SELL,0.3343108504398827,1.2096774193548387
EXPANSION_CHAIN,FALSE_BREAK,BO_CLUSTER,DOWN_LOCATION,FULL,DOWN,225,53.492227539022075,0.9491482544213055,5.408391884765569,0.7822222222222223,0.44,0.9022222222222223,-0.8755555555555556,0.3022222222222222,SELL,0.3022222222222222,1.1777777777777778
COMPRESSION_BUILDUP,FALSE_BREAK,BO_CLUSTER,MIXED_LOCATION,MIXED,UP,141,42.92509680913828,0.8252204208440546,4.45776530936246,0.46808510638297873,0.7021276595744681,0.574468085106383,0.28368794326241137,-0.801418439716312,BUY,0.28368794326241137,1.0851063829787233
EXPANSION_CHAIN,FALSE_BREAK,BO_CLUSTER,DOWN_LOCATION,MIXED,UP,184,56.726885803187415,0.9817952106725663,5.465207062119572,0.8695652173913043,0.3858695652173913,0.907608695652174,0.27717391304347827,-0.7989130434782609,BUY,0.27717391304347827,1.0760869565217392
EXPANSION_CHAIN,FALSE_BREAK,BO_CLUSTER,UP_LOCATION,FULL,UP,250,51.49439569831586,0.9125786169895596,5.073089977660599,0.852,0.424,0.924,0.276,-0.8240000000000001,BUY,0.276,1.1
