state_dna_macro,next_state,anchor_market_state,next_market_state,event_group,next_event_group,count,state_total,transition_pct
state=EXPANSION|energy=EXTREME|align=FULL/UP|level=NEAR_RESISTANCE|event=BREAKOUT,state=EXPANSION|energy=EXTREME|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,EXPANSION,EXPANSION,BREAKOUT,BREAKOUT,49,230,0.21304347826086956
state=EXPANSION|energy=EXTREME|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,state=EXPANSION|energy=EXTREME|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,EXPANSION,EXPANSION,BREAKOUT,BREAKOUT,121,677,0.17872968980797638
state=ACCEPTED_BREAKOUT|energy=EXTREME|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,state=ACCEPTED_BREAKOUT|energy=HIGH|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,ACCEPTED_BREAKOUT,ACCEPTED_BREAKOUT,BREAKOUT,BREAKOUT,57,385,0.14805194805194805
state=EXPANSION|energy=EXTREME|align=FULL/DOWN|level=NEAR_SUPPORT|event=BREAKOUT,state=EXPANSION|energy=EXTREME|align=FULL/DOWN|level=AT_SUPPORT|event=BREAKOUT,EXPANSION,EXPANSION,BREAKOUT,BREAKOUT,43,302,0.1423841059602649
state=EXPANSION|energy=EXTREME|align=FULL/DOWN|level=AT_SUPPORT|event=BREAKOUT,state=EXPANSION|energy=EXTREME|align=FULL/DOWN|level=AT_SUPPORT|event=BREAKOUT,EXPANSION,EXPANSION,BREAKOUT,BREAKOUT,101,711,0.1420534458509142
state=COMPRESSION|energy=MEDIUM|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,state=COMPRESSION|energy=MEDIUM|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,COMPRESSION,COMPRESSION,BREAKOUT,BREAKOUT,33,237,0.13924050632911392
state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,state=NORMAL_FLOW|energy=MEDIUM|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,SWEEP_OR_FALSE_BREAK,NORMAL_FLOW,BREAKOUT,BREAKOUT,33,240,0.1375
state=ACCEPTED_BREAKOUT|energy=HIGH|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,state=ACCEPTED_BREAKOUT|energy=HIGH|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,ACCEPTED_BREAKOUT,ACCEPTED_BREAKOUT,BREAKOUT,BREAKOUT,119,866,0.1374133949191686
state=LOW_RANGE|energy=LOW|align=NONE/MIXED|level=AT_RESISTANCE|event=BREAKOUT,state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=MIXED/DOWN|level=AT_RESISTANCE|event=FALSE_BREAK,LOW_RANGE,SWEEP_OR_FALSE_BREAK,BREAKOUT,FALSE_BREAK,30,221,0.13574660633484162
state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=FULL/DOWN|level=AT_RESISTANCE|event=FALSE_BREAK,state=NORMAL_FLOW|energy=MEDIUM|align=FULL/DOWN|level=AT_SUPPORT|event=BREAKOUT,SWEEP_OR_FALSE_BREAK,NORMAL_FLOW,FALSE_BREAK,BREAKOUT,36,275,0.13090909090909092
