state,next_state,count,state_total,transition_pct
ACCEPTED_BREAKOUT,SWEEP_OR_FALSE_BREAK,2960,7783,0.3803160734935115
ACCEPTED_BREAKOUT,NORMAL_FLOW,2037,7783,0.2617242708467172
ACCEPTED_BREAKOUT,ACCEPTED_BREAKOUT,2021,7783,0.2596685082872928
ACCEPTED_BREAKOUT,EXPANSION,530,7783,0.06809713478093281
ACCEPTED_BREAKOUT,LOW_RANGE,188,7783,0.02415521007323654
ACCEPTED_BREAKOUT,COMPRESSION,47,7783,0.006038802518309135
COMPRESSION,COMPRESSION,6339,7174,0.8836074714245888
COMPRESSION,NORMAL_FLOW,278,7174,0.03875104544187343
COMPRESSION,SWEEP_OR_FALSE_BREAK,261,7174,0.03638137719542794
COMPRESSION,ACCEPTED_BREAKOUT,255,7174,0.035545023696682464
COMPRESSION,LOW_RANGE,35,7174,0.004878728742681907
COMPRESSION,EXPANSION,6,7174,0.0008363534987454698
EXPANSION,EXPANSION,6091,11448,0.532058001397624
EXPANSION,NORMAL_FLOW,2475,11448,0.21619496855345913
EXPANSION,SWEEP_OR_FALSE_BREAK,2137,11448,0.1866701607267645
EXPANSION,LOW_RANGE,490,11448,0.042802236198462615
EXPANSION,ACCEPTED_BREAKOUT,255,11448,0.022274633123689727
LOW_RANGE,SWEEP_OR_FALSE_BREAK,3563,7626,0.467217414109625
LOW_RANGE,NORMAL_FLOW,2438,7626,0.3196957776029373
LOW_RANGE,LOW_RANGE,846,7626,0.1109362706530291
LOW_RANGE,EXPANSION,408,7626,0.05350118017309206
LOW_RANGE,ACCEPTED_BREAKOUT,253,7626,0.03317597692105953
LOW_RANGE,COMPRESSION,118,7626,0.015473380540257016
NORMAL_FLOW,SWEEP_OR_FALSE_BREAK,12241,29848,0.41011123023318147
NORMAL_FLOW,NORMAL_FLOW,10371,29848,0.3474604663629054
NORMAL_FLOW,LOW_RANGE,2715,29848,0.09096086839989279
NORMAL_FLOW,ACCEPTED_BREAKOUT,2219,29848,0.07434333958724203
NORMAL_FLOW,EXPANSION,2013,29848,0.06744170463682658
NORMAL_FLOW,COMPRESSION,289,29848,0.009682390779951755
SWEEP_OR_FALSE_BREAK,SWEEP_OR_FALSE_BREAK,14957,36119,0.4141033804922617
SWEEP_OR_FALSE_BREAK,NORMAL_FLOW,12248,36119,0.33910130402281347
SWEEP_OR_FALSE_BREAK,LOW_RANGE,3352,36119,0.09280434120545973
SWEEP_OR_FALSE_BREAK,ACCEPTED_BREAKOUT,2780,36119,0.07696780088042304
SWEEP_OR_FALSE_BREAK,EXPANSION,2400,36119,0.06644702234281126
SWEEP_OR_FALSE_BREAK,COMPRESSION,382,36119,0.010576151056230793
