episode_id,side,start_time,end_time,level,atr,attempts,failed_attempts,accepted,accepted_on_attempt,last_index,last_failed_index,last_recoil_atr,recoil_decreasing_count,episode_state,pressure_state
1,SELL,2026-06-26 00:02:00,2026-06-26 00:04:00,4013.66,3.188000000000102,2,1,True,2.0,6,4.0,,0,LEVEL_BROKEN,NO_COMPRESSION_EVIDENCE
2,SELL,2026-06-26 00:05:00,2026-06-26 00:05:00,4012.14,3.0237500000000637,1,1,False,,7,7.0,,0,UNRESOLVED_OR_REJECTED,NO_COMPRESSION_EVIDENCE
3,SELL,2026-06-26 00:07:00,2026-06-26 00:07:00,4012.75,3.0440000000000964,1,0,True,1.0,9,,,0,LEVEL_BROKEN,NO_COMPRESSION_EVIDENCE
4,SELL,2026-06-26 00:25:00,2026-06-26 00:25:00,4017.89,2.6806287512377254,1,0,True,1.0,27,,,0,LEVEL_BROKEN,NO_COMPRESSION_EVIDENCE
5,SELL,2026-06-26 00:26:00,2026-06-26 00:26:00,4016.21,2.706298126149314,1,0,True,1.0,28,,,0,LEVEL_BROKEN,NO_COMPRESSION_EVIDENCE
6,SELL,2026-06-26 00:27:00,2026-06-26 00:27:00,4013.6,2.684419688567227,1,0,True,1.0,29,,,0,LEVEL_BROKEN,NO_COMPRESSION_EVIDENCE
7,SELL,2026-06-26 00:30:00,2026-06-26 00:30:00,4013.89,2.706931507209255,1,0,True,1.0,32,,,0,LEVEL_BROKEN,NO_COMPRESSION_EVIDENCE
8,SELL,2026-06-26 00:33:00,2026-06-26 00:33:00,4013.46,2.536635758505344,1,1,False,,35,35.0,,0,UNRESOLVED_OR_REJECTED,NO_COMPRESSION_EVIDENCE
9,SELL,2026-06-26 00:57:00,2026-06-26 01:05:00,4016.84,2.2040726800203636,2,1,True,2.0,67,59.0,,0,LEVEL_BROKEN,NO_COMPRESSION_EVIDENCE
10,SELL,2026-06-26 01:06:00,2026-06-26 01:06:00,4015.01,3.623074655652554,1,1,False,,68,68.0,,0,UNRESOLVED_OR_REJECTED,NO_COMPRESSION_EVIDENCE
11,SELL,2026-06-26 01:09:00,2026-06-26 01:09:00,4017.47,3.4980411874885533,1,0,True,1.0,71,,,0,LEVEL_BROKEN,NO_COMPRESSION_EVIDENCE
12,SELL,2026-06-26 01:25:00,2026-06-26 01:25:00,4021.4,2.6267701814875815,1,0,True,1.0,87,,,0,LEVEL_BROKEN,NO_COMPRESSION_EVIDENCE
13,SELL,2026-06-26 01:26:00,2026-06-26 01:26:00,4021.17,2.512000882809896,1,0,True,1.0,88,,,0,LEVEL_BROKEN,NO_COMPRESSION_EVIDENCE
14,SELL,2026-06-26 01:27:00,2026-06-26 01:27:00,4021.08,2.585429391180615,1,0,True,1.0,89,,,0,LEVEL_BROKEN,NO_COMPRESSION_EVIDENCE
15,SELL,2026-06-26 01:31:00,2026-06-26 01:31:00,4020.5,2.587871429651957,1,0,True,1.0,93,,,0,LEVEL_BROKEN,NO_COMPRESSION_EVIDENCE
16,SELL,2026-06-26 01:33:00,2026-06-26 01:34:00,4020.3,2.504185059240691,2,1,True,2.0,96,95.0,,0,LEVEL_BROKEN,NO_COMPRESSION_EVIDENCE
17,SELL,2026-06-26 01:35:00,2026-06-26 01:35:00,4019.24,2.632639158222838,1,0,True,1.0,97,,,0,LEVEL_BROKEN,NO_COMPRESSION_EVIDENCE
18,SELL,2026-06-26 01:38:00,2026-06-26 01:38:00,4018.22,2.6688149528482734,1,0,True,1.0,100,,,0,LEVEL_BROKEN,NO_COMPRESSION_EVIDENCE
19,SELL,2026-06-26 01:45:00,2026-06-26 01:45:00,4020.25,2.993947149585861,1,0,True,1.0,107,,,0,LEVEL_BROKEN,NO_COMPRESSION_EVIDENCE
20,SELL,2026-06-26 01:46:00,2026-06-26 01:46:00,4019.68,3.0522366389011526,1,0,True,1.0,108,,,0,LEVEL_BROKEN,NO_COMPRESSION_EVIDENCE
21,SELL,2026-06-26 01:47:00,2026-06-26 01:47:00,4017.34,3.0863625932653704,1,0,True,1.0,109,,,0,LEVEL_BROKEN,NO_COMPRESSION_EVIDENCE
22,SELL,2026-06-26 01:48:00,2026-06-26 01:48:00,4015.04,3.046622408032144,1,1,False,,110,110.0,,0,UNRESOLVED_OR_REJECTED,NO_COMPRESSION_EVIDENCE
23,SELL,2026-06-26 01:51:00,2026-06-26 01:52:00,4015.94,2.7999961481219526,2,2,False,,114,114.0,0.2178426065440809,0,UNRESOLVED_OR_REJECTED,NO_COMPRESSION_EVIDENCE
24,SELL,2026-06-26 02:05:00,2026-06-26 02:05:00,4019.2,2.632989357483243,1,0,True,1.0,127,,,0,LEVEL_BROKEN,NO_COMPRESSION_EVIDENCE
25,SELL,2026-06-26 02:06:00,2026-06-26 02:07:00,4017.17,2.544918689091589,2,1,True,2.0,129,128.0,,0,LEVEL_BROKEN,NO_COMPRESSION_EVIDENCE
26,SELL,2026-06-26 02:09:00,2026-06-26 02:10:00,4016.36,2.385760335252976,2,1,True,2.0,132,131.0,,0,LEVEL_BROKEN,NO_COMPRESSION_EVIDENCE
