timeframe,pattern_type,breakout_side,h1_color,h4_color,htf_alignment,horizon_minutes,sample_size,sample_status,success_rate,avg_return_atr,avg_mfe_atr,avg_mae_atr,avg_nearest_htf_obstacle_atr
H1,RANGE_BOX,DOWN,GREEN,RED,PARTIAL_OR_NONE,15,1,INSUFFICIENT_SAMPLE,0.0,-0.8602290497752171,0.2525880312359144,1.415446137303229,0.185866664494301
H1,RANGE_BOX,DOWN,GREEN,RED,PARTIAL_OR_NONE,30,1,INSUFFICIENT_SAMPLE,0.0,-0.8602290497752171,0.2525880312359144,1.415446137303229,0.185866664494301
H1,RANGE_BOX,DOWN,GREEN,RED,PARTIAL_OR_NONE,60,1,INSUFFICIENT_SAMPLE,0.0,-0.8602290497752171,0.2525880312359144,1.415446137303229,0.185866664494301
H1,RANGE_BOX,DOWN,GREEN,RED,PARTIAL_OR_NONE,180,1,INSUFFICIENT_SAMPLE,0.0,-2.394820484831242,0.2525880312359144,2.592601679100866,0.185866664494301
H1,RANGE_BOX,DOWN,RED,GREEN,PARTIAL_OR_NONE,15,4,INSUFFICIENT_SAMPLE,0.25,-0.07907770275116147,0.44598034386200286,0.48908168758474013,0.16210697759261128
H1,RANGE_BOX,DOWN,RED,GREEN,PARTIAL_OR_NONE,30,4,INSUFFICIENT_SAMPLE,0.25,-0.07907770275116147,0.44598034386200286,0.48908168758474013,0.16210697759261128
H1,RANGE_BOX,DOWN,RED,GREEN,PARTIAL_OR_NONE,60,4,INSUFFICIENT_SAMPLE,0.25,-0.07907770275116147,0.44598034386200286,0.48908168758474013,0.16210697759261128
H1,RANGE_BOX,DOWN,RED,GREEN,PARTIAL_OR_NONE,180,4,INSUFFICIENT_SAMPLE,0.0,-0.3431801979857493,0.44598034386200286,1.0317486973358654,0.16210697759261128
H1,RANGE_BOX,UP,GREEN,GREEN,FULL,15,4,INSUFFICIENT_SAMPLE,0.25,0.09425908387348333,0.26776121741832426,0.3455415158307407,
H1,RANGE_BOX,UP,GREEN,GREEN,FULL,30,4,INSUFFICIENT_SAMPLE,0.25,0.09425908387348333,0.26776121741832426,0.3455415158307407,
H1,RANGE_BOX,UP,GREEN,GREEN,FULL,60,4,INSUFFICIENT_SAMPLE,0.25,0.09425908387348333,0.26776121741832426,0.3455415158307407,
H1,RANGE_BOX,UP,GREEN,GREEN,FULL,180,4,INSUFFICIENT_SAMPLE,0.5,-0.6791457247858719,0.5705249134149566,1.1561469596496647,
H1,RANGE_BOX,UP,GREEN,RED,PARTIAL_OR_NONE,15,1,INSUFFICIENT_SAMPLE,0.0,-0.07434118774673194,0.09183323192241018,0.620967568237174,
H1,RANGE_BOX,UP,GREEN,RED,PARTIAL_OR_NONE,30,1,INSUFFICIENT_SAMPLE,0.0,-0.07434118774673194,0.09183323192241018,0.620967568237174,
H1,RANGE_BOX,UP,GREEN,RED,PARTIAL_OR_NONE,60,1,INSUFFICIENT_SAMPLE,0.0,-0.07434118774673194,0.09183323192241018,0.620967568237174,
H1,RANGE_BOX,UP,GREEN,RED,PARTIAL_OR_NONE,180,1,INSUFFICIENT_SAMPLE,1.0,3.1004648301417514,3.358472481733304,0.620967568237174,
H1,RANGE_BOX,UP,RED,RED,PARTIAL_OR_NONE,15,2,INSUFFICIENT_SAMPLE,0.5,0.31084047838979056,1.1973590082742096,0.6531275900433494,0.229217591414406
H1,RANGE_BOX,UP,RED,RED,PARTIAL_OR_NONE,30,2,INSUFFICIENT_SAMPLE,0.5,0.31084047838979056,1.1973590082742096,0.6531275900433494,0.229217591414406
H1,RANGE_BOX,UP,RED,RED,PARTIAL_OR_NONE,60,2,INSUFFICIENT_SAMPLE,0.5,0.31084047838979056,1.1973590082742096,0.6531275900433494,0.229217591414406
H1,RANGE_BOX,UP,RED,RED,PARTIAL_OR_NONE,180,2,INSUFFICIENT_SAMPLE,0.5,-0.037955806814876536,1.2845438520013372,1.675701755985406,0.229217591414406
H1,TRIANGLE_ASCENDING,DOWN,GREEN,GREEN,PARTIAL_OR_NONE,15,5,INSUFFICIENT_SAMPLE,0.0,-0.07087626358517994,0.19943196917659986,0.3330756569454366,0.35389662272755806
H1,TRIANGLE_ASCENDING,DOWN,GREEN,GREEN,PARTIAL_OR_NONE,30,5,INSUFFICIENT_SAMPLE,0.0,-0.07087626358517994,0.19943196917659986,0.3330756569454366,0.35389662272755806
H1,TRIANGLE_ASCENDING,DOWN,GREEN,GREEN,PARTIAL_OR_NONE,60,5,INSUFFICIENT_SAMPLE,0.0,-0.07087626358517994,0.19943196917659986,0.3330756569454366,0.35389662272755806
H1,TRIANGLE_ASCENDING,DOWN,GREEN,GREEN,PARTIAL_OR_NONE,180,5,INSUFFICIENT_SAMPLE,0.8,0.5451412676749733,0.8162714081060198,0.5525559616605589,0.35389662272755806
H1,TRIANGLE_ASCENDING,DOWN,GREEN,RED,PARTIAL_OR_NONE,15,2,INSUFFICIENT_SAMPLE,0.0,-0.0746415151856444,0.20492737459858762,0.36302065851776244,0.3563077323554652
H1,TRIANGLE_ASCENDING,DOWN,GREEN,RED,PARTIAL_OR_NONE,30,2,INSUFFICIENT_SAMPLE,0.0,-0.0746415151856444,0.20492737459858762,0.36302065851776244,0.3563077323554652
H1,TRIANGLE_ASCENDING,DOWN,GREEN,RED,PARTIAL_OR_NONE,60,2,INSUFFICIENT_SAMPLE,0.0,-0.0746415151856444,0.20492737459858762,0.36302065851776244,0.3563077323554652
H1,TRIANGLE_ASCENDING,DOWN,GREEN,RED,PARTIAL_OR_NONE,180,2,INSUFFICIENT_SAMPLE,0.5,-1.1564773028549857,0.372663099103526,1.4378332395899944,0.3563077323554652
H1,TRIANGLE_ASCENDING,DOWN,RED,GREEN,PARTIAL_OR_NONE,15,12,ADEQUATE,0.25,0.07239337817988205,0.42002959021036984,0.46499950048250765,0.5741087237747653
H1,TRIANGLE_ASCENDING,DOWN,RED,GREEN,PARTIAL_OR_NONE,30,12,ADEQUATE,0.25,0.07239337817988205,0.42002959021036984,0.46499950048250765,0.5741087237747653
H1,TRIANGLE_ASCENDING,DOWN,RED,GREEN,PARTIAL_OR_NONE,60,12,ADEQUATE,0.25,0.07239337817988205,0.42002959021036984,0.46499950048250765,0.5741087237747653
H1,TRIANGLE_ASCENDING,DOWN,RED,GREEN,PARTIAL_OR_NONE,180,12,ADEQUATE,0.4166666666666667,0.09189953031445308,0.7931675026855166,0.7997669602107539,0.5741087237747653
H1,TRIANGLE_ASCENDING,DOWN,RED,RED,FULL,15,4,INSUFFICIENT_SAMPLE,0.5,-0.4295601634846342,0.4176088369350237,0.7292340651021826,0.2491950646311246
H1,TRIANGLE_ASCENDING,DOWN,RED,RED,FULL,30,4,INSUFFICIENT_SAMPLE,0.5,-0.4295601634846342,0.4176088369350237,0.7292340651021826,0.2491950646311246
H1,TRIANGLE_ASCENDING,DOWN,RED,RED,FULL,60,4,INSUFFICIENT_SAMPLE,0.5,-0.4295601634846342,0.4176088369350237,0.7292340651021826,0.2491950646311246
H1,TRIANGLE_ASCENDING,DOWN,RED,RED,FULL,180,4,INSUFFICIENT_SAMPLE,0.0,-1.171341837792336,0.534569327297836,1.4271939080534217,0.2491950646311246
H1,TRIANGLE_ASCENDING,UP,GREEN,GREEN,FULL,15,7,INSUFFICIENT_SAMPLE,0.14285714285714285,-0.31588014189259345,0.2735214861289566,1.002770473791317,
H1,TRIANGLE_ASCENDING,UP,GREEN,GREEN,FULL,30,7,INSUFFICIENT_SAMPLE,0.14285714285714285,-0.31588014189259345,0.2735214861289566,1.002770473791317,
H1,TRIANGLE_ASCENDING,UP,GREEN,GREEN,FULL,60,7,INSUFFICIENT_SAMPLE,0.14285714285714285,-0.31588014189259345,0.2735214861289566,1.002770473791317,
H1,TRIANGLE_ASCENDING,UP,GREEN,GREEN,FULL,180,7,INSUFFICIENT_SAMPLE,0.42857142857142855,0.08635583629985503,1.0423092978868367,1.16397286231761,
H1,TRIANGLE_ASCENDING,UP,GREEN,RED,PARTIAL_OR_NONE,15,2,INSUFFICIENT_SAMPLE,0.5,0.4998509695805842,0.7281851301240174,0.23181523481109545,
H1,TRIANGLE_ASCENDING,UP,GREEN,RED,PARTIAL_OR_NONE,30,2,INSUFFICIENT_SAMPLE,0.5,0.4998509695805842,0.7281851301240174,0.23181523481109545,
H1,TRIANGLE_ASCENDING,UP,GREEN,RED,PARTIAL_OR_NONE,60,2,INSUFFICIENT_SAMPLE,0.5,0.4998509695805842,0.7281851301240174,0.23181523481109545,
H1,TRIANGLE_ASCENDING,UP,GREEN,RED,PARTIAL_OR_NONE,180,2,INSUFFICIENT_SAMPLE,0.5,0.975012694040505,1.085430203784255,0.23181523481109545,
H1,TRIANGLE_ASCENDING,UP,RED,GREEN,PARTIAL_OR_NONE,15,3,INSUFFICIENT_SAMPLE,0.6666666666666666,0.23322455201892603,0.6117600395167098,0.20674260746809425,
H1,TRIANGLE_ASCENDING,UP,RED,GREEN,PARTIAL_OR_NONE,30,3,INSUFFICIENT_SAMPLE,0.6666666666666666,0.23322455201892603,0.6117600395167098,0.20674260746809425,
H1,TRIANGLE_ASCENDING,UP,RED,GREEN,PARTIAL_OR_NONE,60,3,INSUFFICIENT_SAMPLE,0.6666666666666666,0.23322455201892603,0.6117600395167098,0.20674260746809425,
H1,TRIANGLE_ASCENDING,UP,RED,GREEN,PARTIAL_OR_NONE,180,3,INSUFFICIENT_SAMPLE,0.6666666666666666,0.8530318880363134,1.2022832005251398,0.32789386698787865,
H1,TRIANGLE_ASCENDING,UP,RED,RED,PARTIAL_OR_NONE,15,1,INSUFFICIENT_SAMPLE,0.0,-0.090991505387861,0.05361999424641149,0.5605726671216688,
H1,TRIANGLE_ASCENDING,UP,RED,RED,PARTIAL_OR_NONE,30,1,INSUFFICIENT_SAMPLE,0.0,-0.090991505387861,0.05361999424641149,0.5605726671216688,
H1,TRIANGLE_ASCENDING,UP,RED,RED,PARTIAL_OR_NONE,60,1,INSUFFICIENT_SAMPLE,0.0,-0.090991505387861,0.05361999424641149,0.5605726671216688,
H1,TRIANGLE_ASCENDING,UP,RED,RED,PARTIAL_OR_NONE,180,1,INSUFFICIENT_SAMPLE,0.0,0.5020781279438056,0.5833205434686893,1.2478835024621886,
H1,TRIANGLE_DESCENDING,DOWN,GREEN,GREEN,PARTIAL_OR_NONE,15,1,INSUFFICIENT_SAMPLE,0.0,-0.18298103457918047,0.3015798532878857,0.670930460123713,
H1,TRIANGLE_DESCENDING,DOWN,GREEN,GREEN,PARTIAL_OR_NONE,30,1,INSUFFICIENT_SAMPLE,0.0,-0.18298103457918047,0.3015798532878857,0.670930460123713,
