breakout_episode_side,attempt_bucket,attempt_quality,failure_memory_bucket,memory_condition,mtf_alignment_bucket,mtf_bias,attempts,avg_energy,avg_range_atr,avg_energy_delta,avg_range_delta,continuation_h6,pullback_0p50_h6,reach_1atr_h12,buy_edge,sell_edge,best_side,best_edge,edge_gap
UP,FIRST_ATTEMPT,FIRST_ATTEMPT,NO_RECENT_FAILURE,CLEAN_FIRST_ATTEMPT,MIXED,DOWN,881,52.70998359432998,0.9954717062389671,,,0.18615209988649262,0.9534619750283768,0.2542565266742338,-0.8592508513053349,0.5062429057888762,SELL,0.5062429057888762,1.3654937570942112
UP,SECOND_ATTEMPT,WEAKENING,NO_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,MIXED,DOWN,48,41.707834925453106,0.7799856624354934,-20.838534172922042,-0.44570882890449415,0.16666666666666666,0.9583333333333334,0.20833333333333334,-0.9166666666666667,0.5,SELL,0.5,1.4166666666666667
DOWN,FIRST_ATTEMPT,FIRST_ATTEMPT,NO_RECENT_FAILURE,CLEAN_FIRST_ATTEMPT,MIXED,UP,916,53.61496741620842,1.0000348904145118,,,0.18668122270742357,0.9377729257641921,0.2685589519650655,0.4192139737991266,-0.8122270742358079,BUY,0.4192139737991266,1.2314410480349345
UP,SECOND_ATTEMPT,STABLE,ONE_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,FULL,DOWN,41,42.33407165108211,0.8926650852039394,-1.6039844270150698,-0.005260665874954659,0.8048780487804879,0.3902439024390244,0.8780487804878049,-0.8292682926829269,0.39024390243902446,SELL,0.39024390243902446,1.2195121951219514
UP,SECOND_ATTEMPT,IMPROVING,ONE_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,MIXED,DOWN,58,55.94603592450511,1.0645354238096127,19.19858659133101,0.34297849129974056,0.22413793103448276,0.8275862068965517,0.41379310344827586,-0.7413793103448275,0.3620689655172414,SELL,0.3620689655172414,1.103448275862069
UP,SECOND_ATTEMPT,WEAKENING,ONE_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,FULL,DOWN,73,34.411904347503466,0.7041262804938282,-26.12352551804355,-0.4818482733439529,0.7397260273972602,0.3698630136986301,0.8767123287671232,-0.8082191780821917,0.3424657534246575,SELL,0.3424657534246575,1.1506849315068493
UP,THIRD_ATTEMPT,IMPROVING,ONE_RECENT_FAILURE,THIRD_LEVEL_ATTEMPT,FULL,UP,48,58.034913401655466,1.1256071712298927,22.998265803865355,0.4008002578613031,0.6875,0.4583333333333333,0.8541666666666666,0.2708333333333333,-0.9166666666666667,BUY,0.2708333333333333,1.1875
DOWN,SECOND_ATTEMPT,WEAKENING,ONE_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,FULL,UP,61,39.2469865410979,0.7793561961581339,-23.087032785758314,-0.43695718817983564,0.7868852459016393,0.4262295081967213,0.8688524590163934,0.26229508196721313,-0.8032786885245902,BUY,0.26229508196721313,1.0655737704918034
UP,SECOND_ATTEMPT,WEAKENING,NO_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,NONE,MIXED,154,39.38209884477061,0.7620402424693938,-23.676207107809265,-0.5046011973360904,0.35064935064935066,0.9025974025974026,0.42207792207792205,-0.7207792207792207,0.2597402597402597,SELL,0.2597402597402597,0.9805194805194805
UP,SECOND_ATTEMPT,STABLE,NO_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,NONE,MIXED,109,51.26501822786025,0.9861987186934578,0.43156294839432413,-0.0010812439457025442,0.21100917431192662,0.8990825688073395,0.3394495412844037,-0.7339449541284404,0.23853211009174308,SELL,0.23853211009174308,0.9724770642201834
