side,m1_previous_body_bucket,m1_previous_range_bucket,m1_previous_volume_bucket,directional_alignment,horizon_minutes,sample_size,sample_status,success_rate,avg_mfe_atr,avg_mae_atr,avg_return_atr,median_return_atr
DOWN,MEDIUM_BODY,NORMAL_RANGE,NORMAL_VOLUME,PARTIAL_ALIGNMENT,5,3887,ADEQUATE,0.538976074093131,1.3752671017521612,1.073621842056921,0.12523607188280303,0.08347134812823116
UP,MEDIUM_BODY,NORMAL_RANGE,NORMAL_VOLUME,PARTIAL_ALIGNMENT,5,3805,ADEQUATE,0.5106438896189225,1.2835629044237313,1.1505211781008189,0.03158720171553641,-0.0428352881179421
DOWN,SMALL_BODY,NORMAL_RANGE,NORMAL_VOLUME,PARTIAL_ALIGNMENT,5,3607,ADEQUATE,0.5464374826725811,1.445084503619251,1.0768217743186363,0.15476436853286202,0.08882254151897788
UP,SMALL_BODY,NORMAL_RANGE,NORMAL_VOLUME,PARTIAL_ALIGNMENT,5,3557,ADEQUATE,0.522350295192578,1.32281193827338,1.1045511399159533,0.09671145604220686,0.04676586699083444
DOWN,STRONG_BODY,NORMAL_RANGE,NORMAL_VOLUME,PARTIAL_ALIGNMENT,5,3319,ADEQUATE,0.5573968062669479,1.3896089161167677,1.0090602934553712,0.19910228358947604,0.159004867495981
UP,STRONG_BODY,NORMAL_RANGE,NORMAL_VOLUME,PARTIAL_ALIGNMENT,5,3289,ADEQUATE,0.5290361812100942,1.2550706242539797,1.057184816261622,0.07980773562355362,0.03161698283660959
DOWN,SMALL_BODY,LOW_RANGE,NORMAL_VOLUME,PARTIAL_ALIGNMENT,5,2758,ADEQUATE,0.5859318346627991,1.4442545760568126,0.9127702693331992,0.2801709644394491,0.23473927012100937
UP,SMALL_BODY,LOW_RANGE,NORMAL_VOLUME,PARTIAL_ALIGNMENT,5,2639,ADEQUATE,0.5611974232663888,1.3336723122645084,1.0133918092937986,0.16142451797000754,0.14974054855438187
DOWN,STRONG_BODY,EXPANSION_RANGE,NORMAL_VOLUME,PARTIAL_ALIGNMENT,5,2522,ADEQUATE,0.520618556701031,1.3435547040269582,1.1660543808168045,0.05221617215187347,-0.001639728273636182
UP,STRONG_BODY,EXPANSION_RANGE,NORMAL_VOLUME,PARTIAL_ALIGNMENT,5,2417,ADEQUATE,0.5031030202730657,1.3146706329323434,1.1483214161305133,0.07428052852229049,0.06702840727720752
DOWN,MEDIUM_BODY,LOW_RANGE,NORMAL_VOLUME,PARTIAL_ALIGNMENT,5,1859,ADEQUATE,0.5857988165680473,1.4086903089425402,0.901468279845579,0.23641275175148158,0.1873479318735827
UP,MEDIUM_BODY,LOW_RANGE,NORMAL_VOLUME,PARTIAL_ALIGNMENT,5,1742,ADEQUATE,0.5717566016073479,1.3559620787623248,0.923709121004296,0.20122444139171786,0.15003664858925858
UP,SMALL_BODY,LOW_RANGE,LOW_VOLUME,PARTIAL_ALIGNMENT,5,1467,ADEQUATE,0.5644171779141104,1.308364145443277,0.9834044643878742,0.09577763265341771,0.09333333333325905
DOWN,SMALL_BODY,LOW_RANGE,LOW_VOLUME,PARTIAL_ALIGNMENT,5,1444,ADEQUATE,0.5914127423822715,1.4028637487602098,0.8678505028066966,0.2601597617440304,0.18606295678011112
DOWN,MEDIUM_BODY,EXPANSION_RANGE,NORMAL_VOLUME,PARTIAL_ALIGNMENT,5,1327,ADEQUATE,0.5229841748304446,1.3926007951013892,1.1842771103193697,0.0978150971396006,0.02004773269703126
UP,MEDIUM_BODY,EXPANSION_RANGE,NORMAL_VOLUME,PARTIAL_ALIGNMENT,5,1235,ADEQUATE,0.4825910931174089,1.3905612653462383,1.178988271485731,0.16611574559309708,0.0
DOWN,MEDIUM_BODY,LOW_RANGE,LOW_VOLUME,PARTIAL_ALIGNMENT,5,1203,ADEQUATE,0.5852036575228595,1.4046990602640883,0.9234546953258539,0.19365291643865634,0.17790328273899586
UP,MEDIUM_BODY,LOW_RANGE,LOW_VOLUME,PARTIAL_ALIGNMENT,5,1082,ADEQUATE,0.5656192236598891,1.3176495169663525,1.0639054629354578,0.06393303944813826,0.070201206396233
DOWN,STRONG_BODY,LOW_RANGE,NORMAL_VOLUME,PARTIAL_ALIGNMENT,5,943,ADEQUATE,0.5705196182396607,1.3059730081027272,0.90788812873717,0.15008152480844578,0.07409585416028001
DOWN,MEDIUM_BODY,NORMAL_RANGE,NORMAL_VOLUME,FULL_ALIGNMENT,5,898,ADEQUATE,0.5089086859688196,1.4027572448049952,1.1626173138309495,0.04042412591346558,-0.057908950262153085
UP,MEDIUM_BODY,NORMAL_RANGE,NORMAL_VOLUME,NO_ALIGNMENT,5,868,ADEQUATE,0.543778801843318,1.31687054242946,1.0711835541729604,0.10013106911471964,0.15966721425350933
UP,STRONG_BODY,LOW_RANGE,NORMAL_VOLUME,PARTIAL_ALIGNMENT,5,865,ADEQUATE,0.561849710982659,1.3545330950291166,0.9369761012549226,0.17968567480814826,0.07999999999966441
UP,SMALL_BODY,NORMAL_RANGE,NORMAL_VOLUME,NO_ALIGNMENT,5,864,ADEQUATE,0.5763888888888888,1.3743387154094686,1.0313578377105483,0.2630676220574308,0.2817497086489409
DOWN,SMALL_BODY,NORMAL_RANGE,NORMAL_VOLUME,FULL_ALIGNMENT,5,836,ADEQUATE,0.5047846889952153,1.446830971795624,1.146532607406247,0.09044565815075599,-0.07936882830593442
DOWN,SMALL_BODY,NORMAL_RANGE,NORMAL_VOLUME,NO_ALIGNMENT,5,769,ADEQUATE,0.5643693107932379,1.3804937265882276,1.0847011319521638,0.13211650112837972,0.2505263157895785
