side,m1_previous_color,m5_color,m15_color,h1_color,m1_previous_body_bucket,m1_previous_range_bucket,directional_alignment,horizon_minutes,sample_size_train,sample_status_train,success_rate_train,avg_mfe_atr_train,avg_mae_atr_train,avg_return_atr_train,median_return_atr_train,sample_size_test,sample_status_test,success_rate_test,avg_mfe_atr_test,avg_mae_atr_test,avg_return_atr_test,median_return_atr_test,candidate_status
DOWN,RED,RED,RED,RED,MEDIUM_BODY,NORMAL_RANGE,FULL_ALIGNMENT,5,497.0,ADEQUATE,0.5150905432595574,1.4094853116599677,1.1545011445504278,0.0068799210645211824,-0.05108246168803251,276.0,ADEQUATE,0.5,1.3508766698910044,1.100100915167783,0.13064871811714635,-0.017095145609062737,NOT_STABLE
DOWN,RED,RED,RED,RED,MEDIUM_BODY,NORMAL_RANGE,FULL_ALIGNMENT,15,497.0,ADEQUATE,0.5171026156941649,2.372014461915701,2.06223575725228,-0.057578248548871634,-0.13894402540692477,276.0,ADEQUATE,0.5253623188405797,2.347704066947678,2.047305680001819,0.13843938047687512,0.03158698780828023,NOT_STABLE
DOWN,RED,RED,RED,RED,MEDIUM_BODY,NORMAL_RANGE,FULL_ALIGNMENT,30,497.0,ADEQUATE,0.5331991951710262,3.4210492774911923,2.932281664547852,0.007428590134093446,-0.1790998766954192,276.0,ADEQUATE,0.5072463768115942,3.5355275870072544,2.81419004987446,0.5458236722733567,0.28421561701437714,NOT_STABLE
DOWN,RED,RED,RED,RED,MEDIUM_BODY,NORMAL_RANGE,FULL_ALIGNMENT,60,497.0,ADEQUATE,0.5110663983903421,4.842434642624712,4.008366208048704,0.17645075905845026,0.012684031710068105,276.0,ADEQUATE,0.5398550724637681,4.707743283038946,3.661047705126832,0.7182113874246652,0.5093944718070306,NOT_STABLE
DOWN,RED,RED,RED,RED,STRONG_BODY,NORMAL_RANGE,FULL_ALIGNMENT,5,502.0,ADEQUATE,0.5039840637450199,1.3458091615474863,1.0833483553339052,-0.0433521479801791,-0.11191865182224335,251.0,ADEQUATE,0.5737051792828686,1.5009861713295463,0.9243854322601147,0.3317626758641428,0.2702895959956978,NOT_STABLE
DOWN,RED,RED,RED,RED,STRONG_BODY,NORMAL_RANGE,FULL_ALIGNMENT,15,502.0,ADEQUATE,0.5239043824701195,2.4486914012277192,1.9494295658496417,0.13874967454149867,0.006191402794998571,251.0,ADEQUATE,0.5776892430278885,2.524364678549838,1.7763221455489744,0.46337968560845694,0.3685264663805747,NOT_STABLE
DOWN,RED,RED,RED,RED,STRONG_BODY,NORMAL_RANGE,FULL_ALIGNMENT,30,502.0,ADEQUATE,0.5378486055776892,3.305783507421081,2.7296855433040514,0.03971930603720506,-0.1509776358781213,251.0,ADEQUATE,0.5737051792828686,3.5397104860634276,2.5880541036235925,0.43022491777614175,0.5154228855720246,NOT_STABLE
DOWN,RED,RED,RED,RED,STRONG_BODY,NORMAL_RANGE,FULL_ALIGNMENT,60,502.0,ADEQUATE,0.5219123505976095,5.561036927524464,3.8642111870947384,0.7453672938965403,-0.15078790340073067,251.0,ADEQUATE,0.5697211155378487,4.8531057163694555,3.5404007503593435,0.8579076640468805,1.0710860954763548,NOT_STABLE
UP,GREEN,RED,RED,RED,MEDIUM_BODY,NORMAL_RANGE,NO_ALIGNMENT,5,470.0,ADEQUATE,0.5574468085106383,1.3298946474493591,1.0272860069830685,0.17995987593041507,0.1582343773414424,251.0,ADEQUATE,0.5298804780876494,1.3241081920877615,1.0957813100996678,0.020464548097700277,0.11184439041312229,NOT_STABLE
UP,GREEN,RED,RED,RED,MEDIUM_BODY,NORMAL_RANGE,NO_ALIGNMENT,15,470.0,ADEQUATE,0.5127659574468085,2.137346581232372,2.1107848713182307,-0.03355435859284535,0.19363757803072307,251.0,ADEQUATE,0.5219123505976095,2.330728280027728,2.2095863049459252,-0.036075491669413116,-0.05951115834213308,NOT_STABLE
