side,m1_previous_color,m5_color,m15_color,h1_color,horizon_minutes,sample_size,sample_status,success_rate,avg_mfe_atr,avg_mae_atr,avg_return_atr,median_return_atr
DOWN,RED,RED,RED,RED,5,4242,ADEQUATE,0.5207449316360208,1.422024193430131,1.1085715954696846,0.06472396356365834,-0.02612841735709515
UP,GREEN,RED,RED,RED,5,3991,ADEQUATE,0.552994237033325,1.3048925253923018,1.0721443165831241,0.12807003156853092,0.15827725437419554
UP,GREEN,GREEN,GREEN,GREEN,5,3917,ADEQUATE,0.5264232831248404,1.4547776276917093,1.0849127776329843,0.1619077112790113,-0.008316831683097868
UP,GREEN,GREEN,GREEN,RED,5,3807,ADEQUATE,0.5263987391646966,1.3707219520236713,1.0678463713669433,0.11907846458633822,0.03714710252600323
DOWN,RED,RED,RED,GREEN,5,3783,ADEQUATE,0.5434840074015331,1.4627013546627685,1.0915020427612405,0.15729791845848137,0.06589644843852016
UP,GREEN,GREEN,RED,RED,5,3678,ADEQUATE,0.5315388798259923,1.3115117058292187,1.0219149433276893,0.16346731370977388,0.05673257380593481
DOWN,RED,GREEN,GREEN,GREEN,5,3630,ADEQUATE,0.5663911845730027,1.3709020218892802,1.0464645651386908,0.18552582670652187,0.2299617129111689
DOWN,RED,GREEN,GREEN,RED,5,3535,ADEQUATE,0.5482319660537482,1.3669224228268702,1.0290362176172785,0.17483413288395228,0.14796394156053141
DOWN,RED,RED,GREEN,GREEN,5,3340,ADEQUATE,0.5284431137724551,1.3677422721745534,1.0799442578207827,0.13494681165045758,0.09404460592576158
DOWN,RED,RED,GREEN,RED,5,3313,ADEQUATE,0.5571989133715666,1.5188306829304705,1.0418279774110324,0.19273132673408827,0.06467223933128881
UP,GREEN,RED,RED,GREEN,5,3302,ADEQUATE,0.533313143549364,1.3342564878647984,1.0735043130963065,0.1392863402504326,0.09222215415557473
DOWN,RED,GREEN,RED,RED,5,3227,ADEQUATE,0.5581035017043694,1.3767905219319587,0.9755281878673523,0.1837630164681065,0.10134436401242632
UP,GREEN,RED,GREEN,GREEN,5,2887,ADEQUATE,0.5292691375129892,1.3789963673084542,1.0985346175387953,0.14587229304146973,0.040423484119620934
UP,GREEN,RED,GREEN,RED,5,2824,ADEQUATE,0.5336402266288952,1.3222809936851114,1.138836623180836,0.07350878888236713,0.10005169822391703
UP,GREEN,GREEN,RED,GREEN,5,2759,ADEQUATE,0.5230155853570134,1.274750087302174,1.1058423995384632,0.048229942345893326,0.023121387283219195
DOWN,RED,GREEN,RED,GREEN,5,2604,ADEQUATE,0.5817972350230415,1.3799823337922228,0.983205209835423,0.2079731886571505,0.19032636339149736
UP,RED,RED,RED,RED,5,1521,ADEQUATE,0.5673898750821827,1.3400614881499444,1.085024703636877,0.16643004625115027,0.2845231891612662
DOWN,GREEN,RED,RED,RED,5,1435,ADEQUATE,0.5219512195121951,1.443062850987615,1.086871340389433,0.11445270184567186,-0.017817371937621798
UP,RED,RED,RED,GREEN,5,1369,ADEQUATE,0.5507669831994156,1.3157712434420978,1.0708311774192127,0.116044713809466,0.13504823151126907
DOWN,GREEN,GREEN,GREEN,RED,5,1356,ADEQUATE,0.5862831858407079,1.4373356946051665,0.9757178972018459,0.23077563354896205,0.23635353132332598
DOWN,GREEN,GREEN,GREEN,GREEN,5,1325,ADEQUATE,0.5735849056603773,1.3630549022612282,1.0230934523565176,0.17879615396385884,0.2473763118441619
DOWN,GREEN,GREEN,RED,RED,5,1283,ADEQUATE,0.5962587685113017,1.4343227110337244,0.9140564544738434,0.2648609461012895,0.1918934795380863
DOWN,GREEN,RED,RED,GREEN,5,1278,ADEQUATE,0.5485133020344288,1.3782670844928764,1.0900710760872585,0.06505923883005157,0.048695354944721256
UP,RED,GREEN,GREEN,GREEN,5,1200,ADEQUATE,0.5116666666666667,1.3148063456246264,1.114312705050017,0.0397937905072393,-0.049040843346695256
UP,RED,GREEN,GREEN,RED,5,1183,ADEQUATE,0.547759932375317,1.3682454761421816,1.095111674686932,0.08548537832557081,0.07949231796930575
UP,RED,GREEN,RED,RED,5,1156,ADEQUATE,0.5285467128027682,1.2135611747303525,1.0602312564953547,0.05019457736879555,0.0289188523027299
UP,RED,RED,GREEN,GREEN,5,1132,ADEQUATE,0.5556537102473498,1.4119790872765454,1.018856841653984,0.20143459655157794,0.14427561305832476
UP,RED,RED,GREEN,RED,5,1098,ADEQUATE,0.5318761384335154,1.2823856073415592,1.1634433961368738,0.0437914966454631,0.059864031498201756
DOWN,GREEN,RED,GREEN,GREEN,5,1072,ADEQUATE,0.5270522388059702,1.270507265584231,1.1018221149898255,-0.013891469179997657,0.0
DOWN,GREEN,GREEN,RED,GREEN,5,1008,ADEQUATE,0.5704365079365079,1.37467267090587,0.9882237681412429,0.15267997532179736,0.11903809906210697
DOWN,GREEN,RED,GREEN,RED,5,999,ADEQUATE,0.5505505505505506,1.4095242115275797,1.0449743059738021,0.1917408157145541,0.10427461139918393
UP,RED,GREEN,RED,GREEN,5,918,ADEQUATE,0.5174291938997821,1.3154357885207635,1.136670109886554,0.013980519917276835,-0.04515573802742241
DOWN,DOJI,RED,RED,RED,5,19,INSUFFICIENT_SAMPLE,0.42105263157894735,1.5625449295060478,1.1798663039475212,0.25321595104039135,-0.39436619718314136
DOWN,DOJI,RED,GREEN,RED,5,17,INSUFFICIENT_SAMPLE,0.5294117647058824,1.4636439500523772,0.9854364084043219,0.4498451187907277,0.9061488673141882
UP,DOJI,GREEN,GREEN,GREEN,5,17,INSUFFICIENT_SAMPLE,0.5882352941176471,1.2859194848328563,0.9516620252713347,-0.16189446401491206,-0.09175577785467921
UP,DOJI,RED,GREEN,GREEN,5,17,INSUFFICIENT_SAMPLE,0.6470588235294118,1.3856621424733566,0.9576082838069847,-0.06673911370865462,-0.18292682926784148
DOWN,DOJI,GREEN,RED,RED,5,16,INSUFFICIENT_SAMPLE,0.625,1.221035172327879,0.7751525806516303,0.059581559746710366,0.07597518384225371
DOWN,DOJI,RED,RED,GREEN,5,16,INSUFFICIENT_SAMPLE,0.6875,1.954260842001604,1.0593232195877225,0.6640451406018946,1.0825776019476472
DOWN,RED,DOJI,GREEN,RED,5,16,INSUFFICIENT_SAMPLE,0.4375,1.2226894356908684,1.356861637821077,-0.5152593026176937,-1.0687082866701836
UP,DOJI,RED,RED,RED,5,16,INSUFFICIENT_SAMPLE,0.5625,1.3533717751523953,0.9295778230544456,0.1589217245856251,0.22829231720218052
DOWN,RED,DOJI,RED,GREEN,5,15,INSUFFICIENT_SAMPLE,0.6,1.8001178600325543,0.9076504585109417,0.7915546105484135,0.72371495327082
UP,DOJI,RED,RED,GREEN,5,15,INSUFFICIENT_SAMPLE,0.6666666666666666,1.4784890277402913,0.9050106053834356,0.259712559988259,0.06246514221968879
UP,GREEN,DOJI,RED,GREEN,5,13,INSUFFICIENT_SAMPLE,0.23076923076923078,0.5878462790504991,1.994463853272165,-0.8143007285507744,-0.7134033353924709
UP,DOJI,GREEN,RED,RED,5,12,INSUFFICIENT_SAMPLE,0.5833333333333334,1.6130417910704875,0.9890831327313833,0.14443820672341504,-0.22692385732071915
UP,DOJI,RED,GREEN,RED,5,12,INSUFFICIENT_SAMPLE,0.5,1.5089627595049997,1.1860772965524558,0.10364652904777698,-0.2536920247012422
