rank,center_fast,center_mid,center_slow,neighbors,avg_score,median_score,avg_profit_factor,avg_expectancy_r,avg_win_rate,avg_trades,positive_net_ratio,min_net_points,max_drawdown_avg,center_score,center_profit_factor,center_expectancy_r
1,6,30,85,12,197.941757,214.443613,4.150691,0.557747,0.865415,16.25,1.0,4.37432,3.35926,210.0575,4.80551,0.56
2,6,27,85,13,199.113775,218.485892,3.241833,0.58773,0.882072,19.846,1.0,6.26225,3.84871,193.998711,4.240176,0.509677
3,7,27,84,10,232.848092,243.842543,4.06437,0.738965,0.966092,10.6,1.0,9.16249,1.53859,191.677757,4.167011,0.5
4,3,38,67,8,167.814861,167.761023,4.209611,0.451665,0.768243,43.5,1.0,17.16348,9.86801,191.04821,4.193546,0.528741
5,6,33,95,15,226.853525,242.773973,4.176624,0.712263,0.951257,12.733,1.0,9.16249,2.30982,186.381164,3.621822,0.56
6,5,33,95,17,232.216696,242.773973,3.655579,0.752527,0.973626,8.941,1.0,2.85536,1.35758,185.582997,3.580034,0.567742
7,7,36,97,9,221.597867,242.723577,5.655869,0.676631,0.931462,14.333,1.0,11.27597,2.32097,184.6417,3.796276,0.509677
8,7,36,97,7,181.618095,182.701035,3.673464,0.499221,0.832901,17.143,1.0,11.22569,5.02945,184.6417,3.796276,0.509677
9,6,38,84,13,215.539572,238.158473,3.524401,0.526577,0.947823,12.615,1.0,9.16249,3.46473,184.39414,3.741174,0.399996
10,4,33,84,10,189.320818,181.137656,4.469513,0.473956,0.818865,13.7,1.0,5.30135,2.96419,184.140969,3.836755,0.5
