rank,config_id,hour,trades,win_rate,net_points,profit_factor,avg_points,wins,losses
1,6-30-85|s1.0|t0.8|h10|required,2,4,1.0,6.89987,999.0,1.72497,4,0
1,6-30-85|s1.0|t0.8|h10|required,3,1,1.0,1.63172,999.0,1.63172,1,0
1,6-30-85|s1.0|t0.8|h10|required,4,5,1.0,7.32113,999.0,1.46423,5,0
1,6-30-85|s1.0|t0.8|h10|required,8,1,0.0,-1.17657,0.0,-1.17657,0,1
1,6-30-85|s1.0|t0.8|h10|required,16,4,0.75,1.33825,2.385252,0.33456,3,1
1,6-30-85|s1.0|t0.8|h10|required,17,3,1.0,1.58301,999.0,0.52767,3,0
1,6-30-85|s1.0|t0.8|h10|required,21,3,1.0,6.89949,999.0,2.29983,3,0
1,6-30-85|s1.0|t0.8|h10|required,22,9,0.777778,12.93261,2.681095,1.43696,7,2
2,6-27-85|s1.0|t0.8|h20|required,2,5,0.8,5.58851,5.261614,1.1177,4,1
2,6-27-85|s1.0|t0.8|h20|required,3,1,1.0,1.63172,999.0,1.63172,1,0
2,6-27-85|s1.0|t0.8|h20|required,4,5,1.0,7.32113,999.0,1.46423,5,0
2,6-27-85|s1.0|t0.8|h20|required,8,1,0.0,-1.17657,0.0,-1.17657,0,1
2,6-27-85|s1.0|t0.8|h20|required,16,4,0.75,1.33825,2.385252,0.33456,3,1
2,6-27-85|s1.0|t0.8|h20|required,17,3,1.0,1.58301,999.0,0.52767,3,0
2,6-27-85|s1.0|t0.8|h20|required,21,3,1.0,6.89949,999.0,2.29983,3,0
2,6-27-85|s1.0|t0.8|h20|required,22,9,0.777778,12.93261,2.681095,1.43696,7,2
3,7-27-84|s1.0|t0.8|h15|required,2,5,0.8,5.58851,5.261614,1.1177,4,1
3,7-27-84|s1.0|t0.8|h15|required,3,1,1.0,1.63172,999.0,1.63172,1,0
3,7-27-84|s1.0|t0.8|h15|required,4,5,1.0,7.32113,999.0,1.46423,5,0
3,7-27-84|s1.0|t0.8|h15|required,8,1,0.0,-1.17657,0.0,-1.17657,0,1
3,7-27-84|s1.0|t0.8|h15|required,16,3,0.666667,0.52268,1.541037,0.17423,2,1
3,7-27-84|s1.0|t0.8|h15|required,17,3,1.0,1.58301,999.0,0.52767,3,0
3,7-27-84|s1.0|t0.8|h15|required,21,3,1.0,6.89949,999.0,2.29983,3,0
3,7-27-84|s1.0|t0.8|h15|required,22,9,0.777778,12.93261,2.681095,1.43696,7,2
4,3-38-67|s1.3|t1.3|h5|warning_only,0,2,1.0,3.70427,999.0,1.85214,2,0
4,3-38-67|s1.3|t1.3|h5|warning_only,2,4,0.75,5.15619,10.5485,1.28905,3,1
4,3-38-67|s1.3|t1.3|h5|warning_only,3,1,1.0,2.65155,999.0,2.65155,1,0
4,3-38-67|s1.3|t1.3|h5|warning_only,4,2,1.0,4.54351,999.0,2.27176,2,0
4,3-38-67|s1.3|t1.3|h5|warning_only,6,2,1.0,2.93037,999.0,1.46518,2,0
4,3-38-67|s1.3|t1.3|h5|warning_only,7,3,1.0,2.8604,999.0,0.95347,3,0
4,3-38-67|s1.3|t1.3|h5|warning_only,8,1,0.0,-1.52954,0.0,-1.52954,0,1
4,3-38-67|s1.3|t1.3|h5|warning_only,9,1,1.0,4.02904,999.0,4.02904,1,0
4,3-38-67|s1.3|t1.3|h5|warning_only,10,1,1.0,1.35,999.0,1.35,1,0
4,3-38-67|s1.3|t1.3|h5|warning_only,12,1,0.0,-2.18504,0.0,-2.18504,0,1
4,3-38-67|s1.3|t1.3|h5|warning_only,15,1,1.0,1.36778,999.0,1.36778,1,0
4,3-38-67|s1.3|t1.3|h5|warning_only,16,1,1.0,1.17131,999.0,1.17131,1,0
4,3-38-67|s1.3|t1.3|h5|warning_only,17,2,1.0,1.6442,999.0,0.8221,2,0
4,3-38-67|s1.3|t1.3|h5|warning_only,19,1,1.0,3.31752,999.0,3.31752,1,0
4,3-38-67|s1.3|t1.3|h5|warning_only,20,2,0.0,-5.7658,0.0,-2.8829,0,2
4,3-38-67|s1.3|t1.3|h5|warning_only,21,2,1.0,7.49891,999.0,3.74946,2,0
4,3-38-67|s1.3|t1.3|h5|warning_only,22,6,0.666667,11.43483,3.003274,1.9058,4,2
4,3-38-67|s1.3|t1.3|h5|warning_only,23,2,1.0,6.05003,999.0,3.02501,2,0
5,6-33-95|s1.0|t0.8|h10|required,2,4,1.0,6.89987,999.0,1.72497,4,0
5,6-33-95|s1.0|t0.8|h10|required,3,2,1.0,3.30972,999.0,1.65486,2,0
5,6-33-95|s1.0|t0.8|h10|required,4,5,1.0,7.32113,999.0,1.46423,5,0
5,6-33-95|s1.0|t0.8|h10|required,8,2,0.5,-0.02517,0.978607,-0.01258,1,1
5,6-33-95|s1.0|t0.8|h10|required,16,2,1.0,1.48875,999.0,0.74438,2,0
5,6-33-95|s1.0|t0.8|h10|required,17,3,1.0,1.58301,999.0,0.52767,3,0
5,6-33-95|s1.0|t0.8|h10|required,21,2,1.0,4.61122,999.0,2.30561,2,0
5,6-33-95|s1.0|t0.8|h10|required,22,10,0.7,8.82783,1.748264,0.88278,7,3
6,5-33-95|s1.0|t0.8|h30|required,2,4,1.0,6.89987,999.0,1.72497,4,0
6,5-33-95|s1.0|t0.8|h30|required,3,2,1.0,3.30972,999.0,1.65486,2,0
6,5-33-95|s1.0|t0.8|h30|required,4,5,1.0,7.32113,999.0,1.46423,5,0
6,5-33-95|s1.0|t0.8|h30|required,8,2,0.5,-0.02517,0.978607,-0.01258,1,1
6,5-33-95|s1.0|t0.8|h30|required,16,4,1.0,3.23135,999.0,0.80784,4,0
6,5-33-95|s1.0|t0.8|h30|required,17,3,1.0,1.58301,999.0,0.52767,3,0
6,5-33-95|s1.0|t0.8|h30|required,21,1,1.0,2.32645,999.0,2.32645,1,0
6,5-33-95|s1.0|t0.8|h30|required,22,10,0.7,8.82783,1.748264,0.88278,7,3
7,7-36-97|s1.0|t0.8|h10|warning_only,1,1,0.0,-1.72093,0.0,-1.72093,0,1
7,7-36-97|s1.0|t0.8|h10|warning_only,2,6,0.833333,6.23422,4.28409,1.03904,5,1
7,7-36-97|s1.0|t0.8|h10|warning_only,3,1,1.0,1.63172,999.0,1.63172,1,0
7,7-36-97|s1.0|t0.8|h10|warning_only,4,4,1.0,5.78327,999.0,1.44582,4,0
7,7-36-97|s1.0|t0.8|h10|warning_only,5,1,1.0,1.38615,999.0,1.38615,1,0
7,7-36-97|s1.0|t0.8|h10|warning_only,7,1,1.0,1.25161,999.0,1.25161,1,0
