rank,config_id,fold,trades,win_rate,net_points,profit_factor,avg_points,wins,losses
1,6-30-85|s1.0|t0.8|h10|required,1,6,1.0,11.35027,999.0,1.89171,6,0
1,6-30-85|s1.0|t0.8|h10|required,2,6,0.666667,4.22674,1.836645,0.70446,4,2
1,6-30-85|s1.0|t0.8|h10|required,3,6,0.833333,10.39965,3.724183,1.73328,5,1
1,6-30-85|s1.0|t0.8|h10|required,4,6,0.833333,2.44636,3.53228,0.40773,5,1
1,6-30-85|s1.0|t0.8|h10|required,5,6,1.0,9.00649,999.0,1.50108,6,0
2,6-27-85|s1.0|t0.8|h20|required,1,7,0.857143,10.03891,8.655343,1.43413,6,1
2,6-27-85|s1.0|t0.8|h20|required,2,6,0.666667,4.22674,1.836645,0.70446,4,2
2,6-27-85|s1.0|t0.8|h20|required,3,6,0.833333,10.39965,3.724183,1.73328,5,1
2,6-27-85|s1.0|t0.8|h20|required,4,6,0.833333,2.44636,3.53228,0.40773,5,1
2,6-27-85|s1.0|t0.8|h20|required,5,6,1.0,9.00649,999.0,1.50108,6,0
3,7-27-84|s1.0|t0.8|h15|required,1,6,0.833333,8.65515,7.600133,1.44252,5,1
3,7-27-84|s1.0|t0.8|h15|required,2,6,0.833333,9.48594,9.062368,1.58099,5,1
3,7-27-84|s1.0|t0.8|h15|required,3,6,0.666667,3.72749,1.484532,0.62125,4,2
3,7-27-84|s1.0|t0.8|h15|required,4,6,0.833333,4.42751,5.583012,0.73792,5,1
3,7-27-84|s1.0|t0.8|h15|required,5,6,1.0,9.00649,999.0,1.50108,6,0
4,3-38-67|s1.3|t1.3|h5|warning_only,1,7,0.714286,8.89224,2.542239,1.27032,5,2
4,3-38-67|s1.3|t1.3|h5|warning_only,2,7,0.571429,8.67814,2.199034,1.23973,4,3
4,3-38-67|s1.3|t1.3|h5|warning_only,3,7,0.857143,8.80329,5.028892,1.25761,6,1
4,3-38-67|s1.3|t1.3|h5|warning_only,4,7,1.0,10.19173,999.0,1.45596,7,0
4,3-38-67|s1.3|t1.3|h5|warning_only,5,7,0.857143,13.66413,26.303944,1.95202,6,1
5,6-33-95|s1.0|t0.8|h10|required,1,6,1.0,10.52011,999.0,1.75335,6,0
5,6-33-95|s1.0|t0.8|h10|required,2,6,0.5,-1.33615,0.854081,-0.22269,3,3
5,6-33-95|s1.0|t0.8|h10|required,3,6,0.833333,10.39965,3.724183,1.73328,5,1
5,6-33-95|s1.0|t0.8|h10|required,4,6,1.0,4.22316,999.0,0.70386,6,0
5,6-33-95|s1.0|t0.8|h10|required,5,6,1.0,10.20959,999.0,1.7016,6,0
6,5-33-95|s1.0|t0.8|h30|required,1,7,0.857143,8.47101,8.19975,1.21014,6,1
6,5-33-95|s1.0|t0.8|h30|required,2,6,0.5,-2.48911,0.789018,-0.41485,3,3
6,5-33-95|s1.0|t0.8|h30|required,3,6,1.0,12.90046,999.0,2.15008,6,0
6,5-33-95|s1.0|t0.8|h30|required,4,6,1.0,4.38224,999.0,0.73037,6,0
6,5-33-95|s1.0|t0.8|h30|required,5,6,1.0,10.20959,999.0,1.7016,6,0
7,7-36-97|s1.0|t0.8|h10|warning_only,1,7,0.857143,8.3193,8.070808,1.18847,6,1
7,7-36-97|s1.0|t0.8|h10|warning_only,2,6,0.666667,4.47103,1.581184,0.74517,4,2
7,7-36-97|s1.0|t0.8|h10|warning_only,3,6,1.0,11.00421,999.0,1.83404,6,0
7,7-36-97|s1.0|t0.8|h10|warning_only,4,6,0.833333,4.49425,3.611524,0.74904,5,1
7,7-36-97|s1.0|t0.8|h10|warning_only,5,6,0.833333,6.63328,4.494308,1.10555,5,1
8,7-36-97|s1.0|t0.8|h30|warning_only,1,7,0.857143,8.3193,8.070808,1.18847,6,1
8,7-36-97|s1.0|t0.8|h30|warning_only,2,6,0.666667,4.47103,1.581184,0.74517,4,2
8,7-36-97|s1.0|t0.8|h30|warning_only,3,6,1.0,11.00421,999.0,1.83404,6,0
8,7-36-97|s1.0|t0.8|h30|warning_only,4,6,0.833333,4.49425,3.611524,0.74904,5,1
8,7-36-97|s1.0|t0.8|h30|warning_only,5,6,0.833333,6.63328,4.494308,1.10555,5,1
9,6-38-84|s1.3|t0.8|h5|required,1,6,1.0,11.35027,999.0,1.89171,6,0
9,6-38-84|s1.3|t0.8|h5|required,2,6,0.833333,9.13536,6.972619,1.52256,5,1
9,6-38-84|s1.3|t0.8|h5|required,3,6,0.666667,1.41961,1.141949,0.2366,4,2
9,6-38-84|s1.3|t0.8|h5|required,4,6,0.833333,4.13769,4.294628,0.68961,5,1
9,6-38-84|s1.3|t0.8|h5|required,5,6,1.0,9.00649,999.0,1.50108,6,0
10,4-33-84|s1.0|t0.8|h10|required,1,6,1.0,10.52361,999.0,1.75394,6,0
10,4-33-84|s1.0|t0.8|h10|required,2,6,0.5,-1.0489,0.881741,-0.17482,3,3
10,4-33-84|s1.0|t0.8|h10|required,3,6,1.0,15.03275,999.0,2.50546,6,0
10,4-33-84|s1.0|t0.8|h10|required,4,6,0.833333,2.10569,3.179645,0.35095,5,1
10,4-33-84|s1.0|t0.8|h10|required,5,6,0.833333,6.64366,4.519018,1.10728,5,1
