symbol,ma_type,fast,mid,slow,stop_atr,target_atr,max_hold_minutes,m15_mode,m5_mode,max_entry_candle_atr,max_distance_slow_atr,trades,wins,losses,breakeven,win_rate,gross_profit_points,gross_loss_points,net_points,avg_points,profit_factor,expectancy_r,avg_mfe_points,avg_mae_points,mfe_mae_ratio,max_drawdown_points,max_loss_streak,buy_trades,sell_trades,buy_win_rate,sell_win_rate,trades_per_day,active_days,robustness_score,score
GOLD,ema,6,30,85,1.0,0.8,10,required,closed_all,1.2,2.0,30,26,4,0,0.866667,47.26512,9.83561,37.42951,1.24765,4.80551,0.56,2.383,1.379,1.728064,7.69297,2,30,0,0.866667,0.0,6.0,5,1.020539,210.0575
GOLD,ema,6,27,85,1.0,0.8,20,required,closed_all,1.2,2.0,31,26,5,0,0.83871,47.26512,11.14697,36.11815,1.1651,4.240176,0.509677,2.32419,1.40161,1.658228,7.69297,2,31,0,0.83871,0.0,6.2,5,0.963898,193.998711
GOLD,ema,7,27,84,1.0,0.8,15,required,closed_all,1.2,2.0,30,25,5,0,0.833333,46.44955,11.14697,35.30258,1.17675,4.167011,0.5,2.359,1.42933,1.65042,7.69297,2,30,0,0.833333,0.0,6.0,5,0.919514,191.677757
GOLD,ema,3,38,67,1.3,1.3,5,warning_only,closed_all,0.8,2.0,35,28,7,0,0.8,65.95798,15.72845,50.22953,1.43513,4.193546,0.528741,2.76257,1.53829,1.795877,5.70807,2,35,0,0.8,0.0,5.8333,6,1.223411,191.04821
GOLD,ema,6,33,95,1.0,0.8,10,required,closed_all,1.8,2.0,30,26,4,0,0.866667,46.99068,12.97432,34.01636,1.13388,3.621822,0.56,2.556,1.47933,1.727805,7.69297,2,30,0,0.866667,0.0,5.0,6,1.020386,186.381164
GOLD,ema,5,33,95,1.0,0.8,30,required,closed_all,1.8,2.0,31,27,4,0,0.870968,46.44851,12.97432,33.47419,1.07981,3.580034,0.567742,2.33903,1.40129,1.669199,7.69297,2,31,0,0.870968,0.0,5.1667,6,1.026074,185.582997
GOLD,ema,7,36,97,1.0,0.8,10,warning_only,closed_all,1.2,2.0,31,26,5,0,0.83871,47.41085,12.48878,34.92207,1.12652,3.796276,0.509677,2.2129,1.37419,1.610329,7.69297,2,31,0,0.83871,0.0,5.1667,6,0.936055,184.6417
GOLD,ema,7,36,97,1.0,0.8,30,warning_only,closed_all,1.2,2.0,31,26,5,0,0.83871,47.41085,12.48878,34.92207,1.12652,3.796276,0.509677,2.2129,1.37419,1.610329,7.69297,2,31,0,0.83871,0.0,5.1667,6,0.936055,184.6417
GOLD,ema,6,38,84,1.3,0.8,5,required,closed_all,1.2,2.0,30,26,4,0,0.866667,47.8357,12.78628,35.04942,1.16831,3.741174,0.399996,2.397,1.418,1.690409,10.00085,2,30,0,0.866667,0.0,6.0,5,0.829827,184.39414
GOLD,ema,4,33,84,1.0,0.8,10,required,closed_all,1.2,2.0,30,25,5,0,0.833333,44.98035,11.72354,33.25681,1.10856,3.836755,0.5,2.20767,1.41767,1.557254,7.69297,2,30,0,0.833333,0.0,6.0,5,0.867607,184.140969
GOLD,ema,5,36,95,1.0,0.8,30,required,closed_all,1.8,2.0,30,26,4,0,0.866667,44.91065,12.97432,31.93633,1.06454,3.461503,0.56,2.314,1.43033,1.617805,7.69297,2,30,0,0.866667,0.0,5.0,6,0.955423,182.074777
GOLD,ema,3,35,88,1.0,0.8,5,required,closed_all,1.2,2.0,30,25,5,0,0.833333,42.53651,11.6409,30.89561,1.02985,3.654057,0.46584,2.10667,1.35533,1.554353,7.69297,2,30,0,0.833333,0.0,6.0,5,0.836409,179.60401
GOLD,ema,3,36,86,1.0,0.8,5,required,closed_all,1.2,2.0,30,25,5,0,0.833333,42.53651,11.6409,30.89561,1.02985,3.654057,0.46584,2.10667,1.35533,1.554353,7.69297,2,30,0,0.833333,0.0,6.0,5,0.836409,179.60401
GOLD,ema,6,28,81,1.0,0.8,5,required,closed_all,1.2,2.0,33,27,6,0,0.818182,48.29955,12.92851,35.37104,1.07185,3.735895,0.452249,2.25242,1.43788,1.566491,7.69297,2,33,0,0.818182,0.0,5.5,6,0.914187,179.507203
GOLD,ema,7,36,80,1.0,0.8,5,required,closed_all,1.2,2.0,33,27,6,0,0.818182,49.1857,13.33679,35.84891,1.08633,3.687971,0.461629,2.29788,1.50273,1.529139,7.69297,2,33,0,0.818182,0.0,5.5,6,0.901179,178.409719
GOLD,ema,7,28,81,1.0,0.8,5,required,closed_all,1.2,2.0,32,26,6,0,0.8125,47.79955,12.92851,34.87104,1.08972,3.69722,0.451055,2.29937,1.465,1.569539,7.69297,2,32,0,0.8125,0.0,5.3333,6,0.887095,178.166166
GOLD,ema,7,36,83,1.0,0.8,5,required,closed_all,1.2,2.0,32,26,6,0,0.8125,47.8357,13.33679,34.49891,1.07809,3.586748,0.4625,2.30094,1.48094,1.553703,7.69297,2,32,0,0.8125,0.0,6.4,5,0.888713,176.084486
GOLD,ema,6,32,80,1.0,0.8,5,required,closed_all,1.2,2.0,32,26,6,0,0.8125,47.79955,13.33679,34.46276,1.07696,3.584037,0.451055,2.31656,1.51969,1.524368,7.69297,2,32,0,0.8125,0.0,5.3333,6,0.861565,175.450786
GOLD,ema,6,36,97,1.0,0.8,5,warning_only,closed_all,1.2,2.0,30,24,6,0,0.8,44.77309,12.63878,32.13431,1.07114,3.542517,0.470137,2.20667,1.38167,1.597105,7.69297,2,30,0,0.8,0.0,5.0,6,0.863238,174.574818
GOLD,ema,8,38,83,1.0,0.8,10,required,closed_all,1.2,2.0,31,25,6,0,0.806452,47.3608,13.33679,34.02401,1.09755,3.551139,0.451613,2.35774,1.52226,1.548845,7.69297,2,31,0,0.806452,0.0,6.2,5,0.848541,174.446722
GOLD,ema,8,34,98,1.3,0.8,5,warning_only,closed_all,1.2,2.0,32,27,5,0,0.84375,48.83789,14.14819,34.6897,1.08405,3.451883,0.391922,2.21219,1.48469,1.490002,10.00085,2,32,0,0.84375,0.0,5.3333,6,0.773211,174.110726
GOLD,ema,7,30,98,1.0,0.8,15,warning_only,closed_all,1.2,2.0,32,26,6,0,0.8125,47.56256,13.80014,33.76242,1.05508,3.446527,0.4625,2.20469,1.38281,1.59435,7.69297,2,32,0,0.8125,0.0,5.3333,6,0.911963,173.68655
GOLD,ema,7,28,98,1.0,0.8,20,warning_only,closed_all,1.2,2.0,32,26,6,0,0.8125,47.56256,13.80014,33.76242,1.05508,3.446527,0.4625,2.20469,1.38281,1.59435,7.69297,2,32,0,0.8125,0.0,5.3333,6,0.911963,173.68655
GOLD,ema,7,28,97,1.0,0.8,10,warning_only,closed_all,1.2,2.0,32,26,6,0,0.8125,47.56256,13.80014,33.76242,1.05508,3.446527,0.4625,2.20469,1.38281,1.59435,7.69297,2,32,0,0.8125,0.0,5.3333,6,0.911963,173.68655
