side,entry,stop,target,exit_price,pnl_points,pnl_r,mfe_points,mae_points,exit_reason,exit_time,signal_time,entry_time,fast,mid,slow,stop_atr,target_atr,max_hold_minutes,m15_mode,m5_mode,max_entry_candle_atr,max_distance_slow_atr
BUY,4128.89,4126.03404,4131.17477,4131.17477,2.28477,0.8,6.43,2.32,TARGET,2026-07-02 21:13:00,2026-07-02 21:09:00,2026-07-02 21:10:00,6,37,91,1.0,0.8,15,required,closed_all,1.2,1.2
BUY,4185.64,4182.01471,4188.54024,4188.54024,2.90024,0.8,4.02,1.32,TARGET,2026-07-05 22:28:00,2026-07-05 22:25:00,2026-07-05 22:26:00,6,37,91,1.0,0.8,15,required,closed_all,1.2,1.2
BUY,4187.16,4183.5908,4190.01536,4190.01536,2.85536,0.8,4.41,2.59,TARGET,2026-07-05 22:30:00,2026-07-05 22:26:00,2026-07-05 22:27:00,6,37,91,1.0,0.8,15,required,closed_all,1.2,1.2
BUY,4188.14,4184.57074,4190.99541,4190.99541,2.85541,0.8,3.43,2.27,TARGET,2026-07-05 22:30:00,2026-07-05 22:27:00,2026-07-05 22:28:00,6,37,91,1.0,0.8,15,required,closed_all,1.2,1.2
BUY,4127.19,4125.04332,4128.90735,4128.90735,1.71735,0.8,2.97,0.59,TARGET,2026-07-08 02:38:00,2026-07-08 02:36:00,2026-07-08 02:37:00,6,37,91,1.0,0.8,15,required,closed_all,1.2,1.2
BUY,4128.26,4126.14808,4129.94954,4129.94954,1.68954,0.8,1.9,1.34,TARGET,2026-07-08 02:38:00,2026-07-08 02:37:00,2026-07-08 02:38:00,6,37,91,1.0,0.8,15,required,closed_all,1.2,1.2
BUY,4185.64,4180.92712,4189.26529,4189.26529,3.62529,0.76923,4.02,1.32,TARGET,2026-07-05 22:28:00,2026-07-05 22:25:00,2026-07-05 22:26:00,3,34,62,1.3,1.0,15,required,closed_all,0.8,0.8
BUY,4187.16,4182.52004,4190.7292,4190.7292,3.5692,0.76923,4.41,2.59,TARGET,2026-07-05 22:30:00,2026-07-05 22:26:00,2026-07-05 22:27:00,3,34,62,1.3,1.0,15,required,closed_all,0.8,0.8
BUY,4128.26,4125.5145,4130.37192,4130.37192,2.11192,0.76923,2.82,1.7,TARGET,2026-07-08 02:42:00,2026-07-08 02:37:00,2026-07-08 02:38:00,3,34,62,1.3,1.0,15,required,closed_all,0.8,0.8
BUY,4128.02,4125.56569,4129.90793,4125.56569,-2.45431,-1.0,1.17,3.48,STOP,2026-07-08 03:02:00,2026-07-08 02:56:00,2026-07-08 02:57:00,3,34,62,1.3,1.0,15,required,closed_all,0.8,0.8
BUY,4128.6,4125.63586,4130.88011,4130.88011,2.28011,0.76923,3.12,1.59,TARGET,2026-07-02 20:56:00,2026-07-02 20:54:00,2026-07-02 20:55:00,3,23,66,1.3,1.0,15,warning_only,closed_all,1.8,1.2
BUY,4182.25,4180.39026,4183.68057,4180.39026,-1.85974,-1.0,0.03,2.64,STOP,2026-07-03 00:30:00,2026-07-03 00:28:00,2026-07-03 00:29:00,3,23,66,1.3,1.0,15,warning_only,closed_all,1.8,1.2
BUY,4183.04,4181.02669,4184.5887,4181.02669,-2.01331,-1.0,0.02,2.42,STOP,2026-07-03 00:35:00,2026-07-03 00:33:00,2026-07-03 00:34:00,3,23,66,1.3,1.0,15,warning_only,closed_all,1.8,1.2
BUY,4174.42,4172.07312,4176.22529,4176.22529,1.80529,0.76923,2.59,1.85,TARGET,2026-07-03 04:30:00,2026-07-03 04:25:00,2026-07-03 04:26:00,3,23,66,1.3,1.0,15,warning_only,closed_all,1.8,1.2
BUY,4177.27,4175.75762,4178.43337,4175.75762,-1.51238,-1.0,0.65,1.82,STOP,2026-07-03 08:00:00,2026-07-03 07:56:00,2026-07-03 07:57:00,3,23,66,1.3,1.0,15,warning_only,closed_all,1.8,1.2
BUY,4187.16,4182.52004,4190.7292,4190.7292,3.5692,0.76923,4.41,2.59,TARGET,2026-07-05 22:30:00,2026-07-05 22:26:00,2026-07-05 22:27:00,3,23,66,1.3,1.0,15,warning_only,closed_all,1.8,1.2
BUY,4188.14,4183.49996,4191.70926,4191.70926,3.56926,0.76923,6.24,2.27,TARGET,2026-07-05 22:32:00,2026-07-05 22:27:00,2026-07-05 22:28:00,3,23,66,1.3,1.0,15,warning_only,closed_all,1.8,1.2
BUY,4155.65,4153.83257,4157.04802,4153.83257,-1.81743,-1.0,0.55,1.93,STOP,2026-07-06 09:00:00,2026-07-06 08:59:00,2026-07-06 09:00:00,3,23,66,1.3,1.0,15,warning_only,closed_all,1.8,1.2
BUY,4162.39,4161.14208,4163.34994,4161.14208,-1.24792,-1.0,0.85,2.28,STOP,2026-07-06 16:35:00,2026-07-06 16:26:00,2026-07-06 16:27:00,3,23,66,1.3,1.0,15,warning_only,closed_all,1.8,1.2
BUY,4130.25,4127.98963,4131.98875,4131.98875,1.73875,0.76923,1.85,0.58,TARGET,2026-07-07 06:56:00,2026-07-07 06:55:00,2026-07-07 06:56:00,3,23,66,1.3,1.0,15,warning_only,closed_all,1.8,1.2
BUY,4135.55,4133.9266,4136.79877,4133.9266,-1.6234,-1.0,0.36,2.0,STOP,2026-07-07 08:00:00,2026-07-07 07:59:00,2026-07-07 08:00:00,3,23,66,1.3,1.0,15,warning_only,closed_all,1.8,1.2
BUY,4108.98,4105.54559,4111.62185,4111.62185,2.64185,0.76923,3.24,0.87,TARGET,2026-07-07 23:06:00,2026-07-07 23:05:00,2026-07-07 23:06:00,3,23,66,1.3,1.0,15,warning_only,closed_all,1.8,1.2
BUY,4112.22,4108.64926,4114.96672,4114.96672,2.74672,0.76923,3.13,2.12,TARGET,2026-07-07 23:07:00,2026-07-07 23:06:00,2026-07-07 23:07:00,3,23,66,1.3,1.0,15,warning_only,closed_all,1.8,1.2
BUY,4126.98,4124.59829,4128.81208,4124.59829,-2.38171,-1.0,0.19,2.61,STOP,2026-07-08 01:30:00,2026-07-08 01:25:00,2026-07-08 01:26:00,3,23,66,1.3,1.0,15,warning_only,closed_all,1.8,1.2
BUY,4126.21,4124.18401,4127.76846,4127.76846,1.55846,0.76923,1.73,1.52,TARGET,2026-07-08 02:04:00,2026-07-08 01:56:00,2026-07-08 01:57:00,3,23,66,1.3,1.0,15,warning_only,closed_all,1.8,1.2
BUY,4127.05,4125.02828,4128.60517,4125.02828,-2.02172,-1.0,0.35,2.05,STOP,2026-07-08 02:03:00,2026-07-08 02:00:00,2026-07-08 02:01:00,3,23,66,1.3,1.0,15,warning_only,closed_all,1.8,1.2
BUY,4128.76,4126.2922,4130.65831,4126.2922,-2.4678,-1.0,0.21,5.07,STOP,2026-07-08 02:21:00,2026-07-08 02:18:00,2026-07-08 02:19:00,3,23,66,1.3,1.0,15,warning_only,closed_all,1.8,1.2
BUY,4128.92,4126.04666,4131.13026,4131.13026,2.21026,0.76923,2.7,0.64,TARGET,2026-07-08 02:43:00,2026-07-08 02:40:00,2026-07-08 02:41:00,3,23,66,1.3,1.0,15,warning_only,closed_all,1.8,1.2
